Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,15.893,15.9352,15.7739,15.893,15.893,0
2017-01-03,15.9355,15.942,15.8453,15.9345,15.9345,0
2017-01-04,15.942,16.105,15.828,15.935,15.935,0
2017-01-05,16.0695,16.084299,15.9085,16.0805,16.0805,0
2017-01-06,15.953,15.959,15.8085,15.951,15.951,0
2017-01-09,15.811,16.055,15.7455,15.811,15.811,0
2017-01-10,15.8775,15.889,15.8255,15.8785,15.8785,0
2017-01-11,15.8405,15.903,15.8215,15.843,15.843,0
2017-01-12,15.83,15.8835,15.7968,15.831,15.831,0
2017-01-13,15.8065,15.8675,15.8005,15.8085,15.8085,0
2017-01-16,15.765,15.8685,15.76,15.835,15.835,0
2017-01-17,15.8705,15.8959,15.84,15.871,15.871,0
2017-01-18,15.8935,15.9815,15.839,15.8925,15.8925,0
2017-01-19,15.961,16.0005,15.956,15.9635,15.9635,0
2017-01-20,15.8945,15.902,15.8199,15.897,15.897,0
2017-01-23,15.7875,15.944,15.662,15.785,15.785,0
2017-01-24,15.9295,15.9625,15.865,15.93,15.93,0
2017-01-25,15.915,15.9364,15.8855,15.914,15.914,0
2017-01-26,15.9465,15.9631,15.83,15.9475,15.9475,0
2017-01-27,15.943,15.945,15.8599,15.941,15.941,0
2017-01-30,15.9025,15.9587,15.806,15.9075,15.9075,0
2017-01-31,15.91,15.92,15.8957,15.909,15.909,0
2017-02-01,15.8905,15.901,15.798,15.893,15.893,0
2017-02-02,15.789,15.8049,15.6695,15.789,15.789,0
2017-02-03,15.661,15.787,15.584,15.6625,15.6625,0
2017-02-06,15.594,15.6289,15.519,15.597,15.597,0
2017-02-07,15.769,15.776,15.634,15.7705,15.7705,0
2017-02-08,15.67,15.7255,15.6599,15.6685,15.6685,0
2017-02-09,15.652,15.693,15.544,15.648,15.648,0
2017-02-10,15.645,15.6517,15.4955,15.647,15.647,0
2017-02-13,15.5515,15.645,15.445,15.553,15.553,0
2017-02-14,15.471,15.499,15.415,15.47,15.47,0
2017-02-15,15.4735,15.482,15.4547,15.4715,15.4715,0
2017-02-16,15.3627,15.4154,15.325,15.362,15.362,0
2017-02-17,15.418,15.6031,15.4111,15.4175,15.4175,0
2017-02-20,15.449,15.709,15.378,15.4445,15.4445,0
2017-02-21,15.686,15.72,15.629,15.686,15.686,0
2017-02-22,15.5865,15.597,15.4743,15.5845,15.5845,0
2017-02-23,15.56,15.612,15.435,15.5595,15.5595,0
2017-02-24,15.499,15.5459,15.4105,15.501,15.501,0
2017-02-27,15.511,15.511,15.401,15.511,15.511,0
2017-02-28,15.469,15.475,15.401,15.47,15.47,0
2017-03-01,15.4695,15.661,15.4193,15.47,15.47,0
2017-03-02,15.4435,15.451,15.3207,15.445,15.445,0
2017-03-03,15.4005,15.4725,15.38,15.4005,15.4005,0
2017-03-06,15.282,15.473,15.217,15.2835,15.2835,0
2017-03-07,15.467,15.5456,15.461,15.4645,15.4645,0
2017-03-08,15.562,15.638,15.5222,15.5619,15.5619,0
2017-03-09,15.619,15.663,15.524,15.619,15.619,0
2017-03-10,15.5295,15.5453,15.42,15.5305,15.5305,0
2017-03-13,15.443,15.5273,15.316,15.4335,15.4335,0
2017-03-14,15.508,15.5555,15.5065,15.51,15.51,0
2017-03-15,15.5395,15.561,15.5149,15.538,15.538,0
2017-03-16,15.5495,15.5585,15.4705,15.551,15.551,0
2017-03-17,15.543,15.55,15.486,15.5465,15.5465,0
2017-03-20,15.5345,15.7157,15.419,15.5355,15.5355,0
2017-03-21,15.625,15.649,15.6101,15.6235,15.6235,0
2017-03-22,15.62,15.6288,15.561,15.62,15.62,0
2017-03-23,15.619,15.636,15.5938,15.623,15.623,0
2017-03-24,15.602,15.606,15.588,15.601,15.601,0
2017-03-27,15.5435,15.635,15.45,15.542,15.542,0
2017-03-28,15.6005,15.6005,15.5104,15.5955,15.5955,0
2017-03-29,15.579,15.588,15.4302,15.58,15.58,0
2017-03-30,15.4095,15.4455,15.337,15.4105,15.4105,0
2017-03-31,15.417,15.421,15.345,15.417,15.417,0
2017-04-03,15.354,15.445,15.334,15.354,15.354,0
2017-04-04,15.354,15.396,15.3527,15.384,15.384,0
2017-04-05,15.26,15.3923,15.26,15.369,15.369,0
2017-04-06,15.367,15.4137,15.3568,15.392,15.392,0
2017-04-07,15.404,15.414,15.3552,15.406,15.406,0
2017-04-10,15.355,15.37,15.307,15.405,15.405,0
2017-04-11,15.2055,15.249,15.174,15.2065,15.2065,0
2017-04-12,15.246,15.253,15.1176,15.249,15.249,0
2017-04-13,15.188,15.192,15.1575,15.188,15.188,0
2017-04-14,15.154,15.167,15.134,15.1535,15.1535,0
2017-04-17,15.1625,15.235,15.084,15.1625,15.1625,0
2017-04-18,15.11,15.245,15.098,15.114,15.114,0
2017-04-19,15.2788,15.5055,15.265,15.277,15.277,0
2017-04-20,15.382,15.4155,15.365,15.381,15.381,0
2017-04-21,15.385,15.3905,15.3599,15.3855,15.3855,0
2017-04-24,15.2635,15.474,15.079,15.265,15.265,0
2017-04-25,15.3855,15.471,15.314,15.3846,15.3846,0
2017-04-26,15.416,15.4575,15.3995,15.415,15.415,0
2017-04-27,15.477,15.492,15.438,15.477,15.477,0
2017-04-28,15.4015,15.439,15.389,15.4005,15.4005,0
2017-05-01,15.377,15.407,15.377,15.369,15.369,0
2017-05-02,15.374,15.392,15.275,15.379,15.379,0
2017-05-03,15.279,15.3201,15.214,15.282,15.282,0
2017-05-04,15.242,15.4128,15.242,15.273,15.273,0
2017-05-05,15.341,15.351,15.29,15.342,15.342,0
2017-05-08,15.264,15.402,15.221,15.394,15.394,0
2017-05-09,15.471,15.6102,15.4619,15.471,15.471,0
2017-05-10,15.4835,15.561,15.415,15.5085,15.5085,0
2017-05-11,15.5073,15.5073,15.4402,15.4985,15.4985,0
2017-05-12,15.441,15.4455,15.4046,15.441,15.441,0
2017-05-15,15.368,15.504,15.292,15.3685,15.3685,0
2017-05-16,15.524,15.573,15.5105,15.5235,15.5235,0
2017-05-17,15.5695,15.6305,15.5665,15.571,15.571,0
2017-05-18,15.602,16.0327,15.59,15.602,15.602,0
2017-05-19,16.0065,16.011,15.8507,16.007999,16.007999,0
2017-05-22,15.9505,16.101801,15.891,15.883,15.883,0
2017-05-23,16.177,16.181999,16.01,16.177,16.177,0
2017-05-24,16.086,16.1105,16.062,16.086,16.086,0
2017-05-25,15.962,16.087999,15.962,16.084,16.084,0
2017-05-26,16.091999,16.091999,15.9989,16.077999,16.077999,0
2017-05-29,16.012501,16.031,15.9749,16.013,16.013,0
2017-05-30,15.975,16.086,15.9701,15.975,15.975,0
2017-05-31,16.141001,16.18,16.1147,16.140499,16.140499,0
2017-06-01,16.09,16.120501,16.048201,16.089001,16.089001,0
2017-06-02,16.046,16.0513,16.014,16.046,16.046,0
2017-06-05,15.896,16.052,15.896,16.035999,16.035999,0
2017-06-06,16.011999,16.035,15.945,16.025,16.025,0
2017-06-07,15.996,16.017,15.945,16.01,16.01,0
2017-06-08,15.984,16.006001,15.9693,15.988,15.988,0
2017-06-09,15.932,15.935,15.8633,15.931,15.931,0
2017-06-12,15.836,15.945,15.817,15.9025,15.9025,0
2017-06-13,15.915,15.917,15.8719,15.914,15.914,0
2017-06-14,15.862,15.869,15.819,15.861,15.861,0
2017-06-15,15.899,15.942,15.83,15.898,15.898,0
2017-06-16,15.962,16,15.902,15.963,15.963,0
2017-06-19,16.011,16.072701,15.946,16.01,16.01,0
2017-06-20,16.1085,16.138,16.1085,16.134001,16.134001,0
2017-06-21,16.157,16.4655,16.132999,16.141001,16.141001,0
2017-06-22,16.211,16.214001,16.149099,16.212,16.212,0
2017-06-23,16.143999,16.15,16.103201,16.143999,16.143999,0
2017-06-26,16.030001,16.254,16.028999,16.032,16.032,0
