Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,1.387,1.3947,1.3847,1.387,1.387,0
2017-01-03,1.3897,1.3897,1.3816,1.3895,1.3895,0
2017-01-04,1.383,1.38482,1.3737,1.38314,1.38314,0
2017-01-05,1.3719,1.3738,1.3607,1.3723,1.3723,0
2017-01-06,1.3628,1.3685,1.3596,1.3627,1.3627,0
2017-01-09,1.3675,1.3693,1.3611,1.3676,1.3676,0
2017-01-10,1.3592,1.3636,1.3539,1.3587,1.3587,0
2017-01-11,1.3586,1.3599,1.3517,1.3584,1.3584,0
2017-01-12,1.3426,1.3458,1.3298,1.3428,1.3428,0
2017-01-13,1.3355,1.342,1.3319,1.3354,1.3354,0
2017-01-16,1.333,1.3406,1.333,1.3337,1.3337,0
2017-01-17,1.3382,1.33941,1.3223,1.3381,1.3381,0
2017-01-18,1.32456,1.32615,1.3215,1.32438,1.32438,0
2017-01-19,1.3315,1.33438,1.3206,1.3317,1.3317,0
2017-01-20,1.3216,1.3301,1.3177,1.3216,1.3216,0
2017-01-23,1.32072,1.3243,1.3179,1.3204,1.3204,0
2017-01-24,1.3188,1.32375,1.3141,1.3188,1.3188,0
2017-01-25,1.31758,1.3304,1.3161,1.3171,1.3171,0
2017-01-26,1.3195,1.32822,1.3182,1.3203,1.3203,0
2017-01-27,1.3277,1.33094,1.3208,1.3274,1.3274,0
2017-01-30,1.32368,1.3281,1.3214,1.32387,1.32387,0
2017-01-31,1.32221,1.32561,1.3148,1.3218,1.3218,0
2017-02-01,1.3196,1.32415,1.3161,1.3192,1.3192,0
2017-02-02,1.3183,1.3183,1.2994,1.3186,1.3186,0
2017-02-03,1.306,1.3095,1.2994,1.3064,1.3064,0
2017-02-06,1.3024,1.31056,1.3019,1.30276,1.30276,0
2017-02-07,1.3077,1.3144,1.3017,1.3079,1.3079,0
2017-02-08,1.31228,1.3134,1.3046,1.3119,1.3119,0
2017-02-09,1.3098,1.31363,1.3048,1.31032,1.31032,0
2017-02-10,1.3111,1.31232,1.3029,1.31132,1.31132,0
2017-02-13,1.30387,1.3102,1.3021,1.30376,1.30376,0
2017-02-14,1.30844,1.3115,1.2989,1.30849,1.30849,0
2017-02-15,1.30388,1.30929,1.3005,1.3039,1.3039,0
2017-02-16,1.2947,1.30105,1.29328,1.29509,1.29509,0
2017-02-17,1.2991,1.3055,1.2963,1.299,1.299,0
2017-02-20,1.3041,1.3053,1.30059,1.30412,1.30412,0
2017-02-21,1.30061,1.30704,1.3005,1.3006,1.3006,0
2017-02-22,1.30266,1.3042,1.2968,1.3027,1.3027,0
2017-02-23,1.29912,1.30434,1.2917,1.2992,1.2992,0
2017-02-24,1.2965,1.30441,1.2952,1.2965,1.2965,0
2017-02-27,1.304,1.3043,1.29794,1.3037,1.3037,0
2017-02-28,1.30283,1.304,1.2994,1.3027,1.3027,0
2017-03-01,1.3084,1.3089,1.2991,1.30851,1.30851,0
2017-03-02,1.30552,1.32135,1.3045,1.3059,1.3059,0
2017-03-03,1.32055,1.3254,1.3185,1.3206,1.3206,0
2017-03-06,1.31745,1.3207,1.3141,1.3167,1.3167,0
