Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,3.2532,3.2797,3.2427,3.2532,3.2532,0
2017-01-03,3.2841,3.2897,3.2475,3.284,3.284,0
2017-01-04,3.2635,3.2643,3.2188,3.2635,3.2635,0
2017-01-05,3.2149,3.2276,3.1998,3.2141,3.2141,0
2017-01-06,3.1975,3.2118,3.1894,3.1977,3.1977,0
2017-01-09,3.2224,3.227,3.1961,3.2222,3.2222,0
2017-01-10,3.1931,3.197,3.1794,3.1955,3.1955,0
2017-01-11,3.1944,3.2225,3.1883,3.1945,3.1945,0
2017-01-12,3.196,3.1972,3.1566,3.1963,3.1963,0
2017-01-13,3.1864,3.2192,3.1799,3.1868,3.1868,0
2017-01-16,3.2198,3.2308,3.2115,3.1868,3.1868,0
2017-01-17,3.2399,3.2413,3.1985,3.2405,3.2405,0
2017-01-18,3.2099,3.2278,3.1805,3.2098,3.2098,0
2017-01-19,3.2303,3.2334,3.1989,3.2296,3.2296,0
2017-01-20,3.1929,3.1983,3.184,3.1949,3.1949,0
2017-01-23,3.1689,3.1716,3.1551,3.1423,3.1423,0
2017-01-24,3.1615,3.1711,3.1569,3.1617,3.1617,0
2017-01-25,3.1687,3.1709,3.1591,3.1687,3.1687,0
2017-01-26,3.1689,3.1878,3.1483,3.1685,3.1685,0
2017-01-27,3.1757,3.1798,3.1441,3.1761,3.1761,0
2017-01-30,3.1387,3.1512,3.1183,3.1096,3.1096,0
2017-01-31,3.1252,3.1353,3.1056,3.1255,3.1255,0
2017-02-01,3.1479,3.1603,3.1344,3.1501,3.1501,0
2017-02-02,3.1281,3.1299,3.1078,3.128,3.128,0
2017-02-03,3.1222,3.1356,3.1046,3.1225,3.1225,0
2017-02-06,3.116,3.1239,3.1064,3.1195,3.1195,0
2017-02-07,3.1148,3.1333,3.1117,3.1137,3.1137,0
2017-02-08,3.1167,3.1268,3.1155,3.1167,3.1167,0
2017-02-09,3.1161,3.1251,3.1126,3.1159,3.1159,0
2017-02-10,3.1286,3.1293,3.1071,3.1288,3.1288,0
2017-02-13,3.1158,3.121,3.1096,3.1071,3.1071,0
2017-02-14,3.11,3.1152,3.0912,3.1101,3.1101,0
2017-02-15,3.0835,3.0897,3.0581,3.0812,3.0812,0
2017-02-16,3.056,3.0581,3.0413,3.0561,3.0561,0
2017-02-17,3.0853,3.1055,3.0807,3.0875,3.0875,0
2017-02-20,3.1035,3.1036,3.0828,3.0955,3.0955,0
2017-02-21,3.0855,3.102,3.0829,3.0855,3.0855,0
2017-02-22,3.0941,3.0967,3.0724,3.0939,3.0939,0
2017-02-23,3.0624,3.072,3.0504,3.0623,3.0623,0
2017-02-24,3.0601,3.1039,3.0557,3.0603,3.0603,0
2017-02-27,3.1095,3.1119,3.1048,3.0946,3.0946,0
2017-02-28,3.1075,3.1087,3.0858,3.1053,3.1053,0
2017-03-01,3.1081,3.1169,3.1055,3.108,3.108,0
2017-03-02,3.0895,3.1256,3.0774,3.0882,3.0882,0
2017-03-03,3.1552,3.1571,3.1279,3.1546,3.1546,0
2017-03-06,3.1153,3.1204,3.0949,3.12,3.12,0
2017-03-07,3.1374,3.1385,3.11,3.1372,3.1372,0
2017-03-08,3.1184,3.1519,3.1156,3.1159,3.1159,0
2017-03-09,3.1614,3.1827,3.1578,3.1593,3.1593,0
2017-03-10,3.1914,3.194,3.1505,3.1913,3.1913,0
2017-03-13,3.1382,3.1576,3.131,3.1475,3.1475,0
2017-03-14,3.1522,3.1664,3.1372,3.1524,3.1524,0
2017-03-15,3.1635,3.178,3.1425,3.1637,3.1637,0
2017-03-16,3.1022,3.1172,3.087,3.0999,3.0999,0
2017-03-17,3.1192,3.1206,3.0903,3.1193,3.1193,0
2017-03-20,3.0918,3.1135,3.0789,3.0866,3.0866,0
2017-03-21,3.0709,3.0907,3.0535,3.071,3.071,0
2017-03-22,3.0867,3.1041,3.082,3.0868,3.0868,0
2017-03-23,3.0826,3.1321,3.0719,3.0848,3.0848,0
2017-03-24,3.1382,3.1469,3.1141,3.1381,3.1381,0
2017-03-27,3.1063,3.1334,3.0915,3.1097,3.1097,0
2017-03-28,3.1217,3.1348,3.1207,3.1252,3.1252,0
2017-03-29,3.1371,3.1411,3.1142,3.1384,3.1384,0
2017-03-30,3.122,3.1335,3.0963,3.1221,3.1221,0
2017-03-31,3.1476,3.1747,3.1255,3.1477,3.1477,0
2017-04-03,3.1203,3.1315,3.1012,3.1218,3.1218,0
2017-04-04,3.1133,3.1358,3.1106,3.113,3.113,0
2017-04-05,3.0931,3.0972,3.0718,3.0956,3.0956,0
2017-04-06,3.12,3.125,3.0982,3.1196,3.1196,0
2017-04-07,3.1415,3.1436,3.1216,3.1415,3.1415,0
2017-04-10,3.146,3.1525,3.1301,3.1447,3.1447,0
2017-04-11,3.1283,3.1518,3.1256,3.1318,3.1318,0
2017-04-12,3.1369,3.1504,3.1315,3.1368,3.1368,0
2017-04-13,3.1236,3.1357,3.1177,3.1235,3.1235,0
2017-04-14,3.1437,3.1441,3.141,3.1424,3.1424,0
2017-04-17,3.1402,3.1447,3.0993,3.1437,3.1437,0
2017-04-18,3.1402,3.1402,3.0812,3.1303,3.1303,0
2017-04-19,3.1065,3.1391,3.0944,3.1065,3.1065,0
2017-04-20,3.1485,3.1504,3.1253,3.1483,3.1483,0
2017-04-21,3.147,3.1545,3.1441,3.1471,3.1471,0
2017-04-24,3.1468,3.1485,3.0779,3.1468,3.1468,0
2017-04-25,3.1235,3.1633,3.1095,3.127,3.127,0
2017-04-26,3.1471,3.1898,3.1305,3.1472,3.1472,0
2017-04-27,3.171,3.1879,3.157,3.1711,3.1711,0
2017-04-28,3.1775,3.2087,3.1585,3.1811,3.1811,0
2017-05-01,3.1733,3.1754,3.1676,3.1761,3.1761,0
2017-05-02,3.1751,3.1875,3.1607,3.1751,3.1751,0
2017-05-03,3.15,3.1591,3.136,3.1502,3.1502,0
2017-05-04,3.1625,3.1839,3.1372,3.1621,3.1621,0
2017-05-05,3.1849,3.1907,3.1683,3.1849,3.1849,0
2017-05-08,3.1665,3.1958,3.1665,3.1777,3.1777,0
2017-05-09,3.1965,3.1976,3.1786,3.1964,3.1964,0
2017-05-10,3.1889,3.1895,3.1537,3.1868,3.1868,0
2017-05-11,3.166,3.1669,3.1463,3.1657,3.1657,0
2017-05-12,3.1388,3.1505,3.1185,3.139,3.139,0
2017-05-15,3.1241,3.1245,3.0949,3.1777,3.1777,0
2017-05-16,3.1047,3.1089,3.0889,3.1082,3.1082,0
2017-05-17,3.0957,3.1118,3.0928,3.0958,3.0958,0
2017-05-18,3.1357,3.4052,3.1311,3.1334,3.1334,0
2017-05-19,3.3688,3.3694,3.2743,3.369,3.369,0
2017-05-22,3.2559,3.3047,3.2297,3.2533,3.2533,0
