Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,6.9438,6.9462,6.935,6.9438,6.9438,0
2017-01-03,6.944,6.9604,6.935,6.944,6.944,0
2017-01-04,6.9599,6.9601,6.9343,6.9598,6.9598,0
2017-01-05,6.9341,6.9341,6.8605,6.9251,6.9251,0
2017-01-06,6.888,6.9255,6.8741,6.8879,6.8879,0
2017-01-09,6.9176,6.937,6.9107,6.9175,6.9175,0
2017-01-10,6.9367,6.9367,6.9139,6.9367,6.9367,0
2017-01-11,6.9211,6.9365,6.9115,6.9212,6.9212,0
2017-01-12,6.9361,6.9364,6.8851,6.9361,6.9361,0
2017-01-13,6.8949,6.9,6.877,6.8949,6.8949,0
2017-01-16,6.8989,6.9011,6.8846,6.8988,6.8988,0
2017-01-17,6.9,6.9017,6.8453,6.891,6.891,0
2017-01-18,6.8536,6.8693,6.8271,6.8446,6.8446,0
2017-01-19,6.838,6.8756,6.8378,6.838,6.838,0
2017-01-20,6.8705,6.8781,6.8511,6.8613,6.8613,0
2017-01-23,6.8755,6.8755,6.8468,6.8755,6.8755,0
2017-01-24,6.853,6.8591,6.8357,6.844,6.844,0
2017-01-25,6.8582,6.8838,6.8566,6.849,6.849,0
2017-01-26,6.8826,6.8826,6.8633,6.8736,6.8736,0
2017-01-27,6.8784,6.8789,6.8782,6.8784,6.8784,0
2017-01-30,6.8828,6.8828,6.8807,6.883,6.883,0
2017-01-31,6.8807,6.884,6.8802,6.8807,6.8807,0
2017-02-01,6.8787,6.8858,6.8761,6.8787,6.8787,0
2017-02-02,6.8826,6.8862,6.8679,6.8809,6.8809,0
2017-02-03,6.8798,6.8875,6.8633,6.88,6.88,0
2017-02-06,6.8704,6.8744,6.8189,6.8722,6.8722,0
2017-02-07,6.8629,6.8852,6.8594,6.8636,6.8636,0
2017-02-08,6.8849,6.8903,6.87,6.8845,6.8845,0
2017-02-09,6.8724,6.8766,6.8563,6.8725,6.8725,0
2017-02-10,6.8686,6.8858,6.865,6.8686,6.8686,0
2017-02-13,6.8948,6.8984,6.873,6.8952,6.8952,0
2017-02-14,6.8787,6.8878,6.8604,6.8795,6.8795,0
2017-02-15,6.8667,6.8749,6.8557,6.8668,6.8668,0
2017-02-16,6.8703,6.876,6.8456,6.8684,6.8684,0
2017-02-17,6.8548,6.8743,6.8381,6.8526,6.8526,0
2017-02-20,6.8562,6.8804,6.8562,6.8557,6.8557,0
2017-02-21,6.879,6.9004,6.8762,6.8781,6.8781,0
2017-02-22,6.8827,6.8863,6.8678,6.8826,6.8826,0
2017-02-23,6.8741,6.883,6.865,6.8737,6.8737,0
2017-02-24,6.8644,6.8796,6.8545,6.8655,6.8655,0
2017-02-27,6.9011,6.9011,6.8564,6.9007,6.9007,0
2017-02-28,6.8702,6.8843,6.8627,6.8701,6.8701,0
2017-03-01,6.867,6.8854,6.8651,6.8664,6.8664,0
2017-03-02,6.8824,6.8903,6.8741,6.8822,6.8822,0
2017-03-03,6.8869,6.9069,6.884,6.8876,6.8876,0
2017-03-06,6.8962,6.9047,6.8405,6.8962,6.8962,0
2017-03-07,6.8959,6.9058,6.8807,6.8967,6.8967,0
2017-03-08,6.9026,6.9128,6.8902,6.9023,6.9023,0
2017-03-09,6.9132,6.9218,6.9001,6.9119,6.9119,0
2017-03-10,6.9089,6.9209,6.895,6.9102,6.9102,0
2017-03-13,6.858,6.9145,6.8466,6.8566,6.8566,0
2017-03-14,6.9145,6.9241,6.9048,6.913,6.913,0
