Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,13505,13529,13495,13512,13512,0
2017-01-03,13505,13505,13318,13506,13506,0
2017-01-04,13449,13472,13338,13443,13443,0
2017-01-05,13347,13380,13278,13348,13348,0
2017-01-06,13319,13391,13310,13319,13319,0
2017-01-09,13351,13385,13281,13351,13351,0
2017-01-10,13315,13336,13264.5,13314,13314,0
2017-01-11,13290,13353,13271,13291,13291,0
2017-01-12,13240,13295,13230,13241,13241,0
2017-01-13,13263,13353,13258,13258,13258,0
2017-01-16,13312,13367,13312,13313,13313,0
2017-01-17,13349,13370,13296,13349,13349,0
2017-01-18,13311,13363,13309,13296,13296,0
2017-01-19,13370,13404,13349,13370,13370,0
2017-01-20,13399,13438,13356,13378,13378,0
2017-01-23,13406,13406,13336,13406,13406,0
2017-01-24,13346,13352,13286,13345,13345,0
2017-01-25,13345,13350,13310,13342,13342,0
2017-01-26,13316,13388,13293,13316,13316,0
2017-01-27,13385,13388,13331,13387,13387,0
2017-01-30,13324,13355,13308,13326,13326,0
2017-01-31,13337,13370,13318,13338,13338,0
2017-02-01,13345,13411,13339,13345,13345,0
2017-02-02,13366,13380,13303,13360,13360,0
2017-02-03,13346,13365,13299,13346,13346,0
2017-02-06,13338,13338,13286,13338,13338,0
2017-02-07,13319,13338,13296,13326,13326,0
2017-02-08,13324,13341,13285,13310,13310,0
2017-02-09,13303,13313,13249,13302,13302,0
2017-02-10,13287,13321,13266,13288,13288,0
2017-02-13,13333,13341,13308,13335,13335,0
2017-02-14,13322,13347.5,13301,13323,13323,0
2017-02-15,13320,13340,13300,13321,13321,0
2017-02-16,13316,13336,13308,13316,13316,0
2017-02-17,13320,13362.5,13320,13321,13321,0
2017-02-20,13347,13361,13326,13350,13350,0
2017-02-21,13356,13376,13347,13347,13347,0
2017-02-22,13356,13369,13335,13358,13358,0
2017-02-23,13338,13364,13302,13338,13338,0
2017-02-24,13325,13351,13303,13325,13325,0
2017-02-27,13324,13359.5,13324,13324,13324,0
2017-02-28,13340,13351,13319,13339,13339,0
2017-03-01,13393,13401,13332,13391,13391,0
2017-03-02,13393,13393,13341.5,13392,13392,0
2017-03-03,13372,13390,13352,13373,13373,0
2017-03-06,13275,13370,13270,13278,13278,0
2017-03-07,13342,13354,13323,13342,13342,0
2017-03-08,13342,13412,13320,13336,13336,0
2017-03-09,13368,13407,13358,13368,13368,0
2017-03-10,13406,13406,13341,13403,13403,0
2017-03-13,13346,13362,13337,13346,13346,0
2017-03-14,13370,13380,13347,13372,13372,0
2017-03-15,13389,13389,13349,13390,13390,0
2017-03-16,13224,13358,13221,13217,13217,0
2017-03-17,13283,13355,13283,13283,13283,0
2017-03-20,13329,13338,13286,13330,13330,0
2017-03-21,13332,13332,13290,13332,13332,0
2017-03-22,13309,13348,13308,13308,13308,0
2017-03-23,13323,13335.5,13306,13327,13327,0
2017-03-24,13319,13332,13288,13318,13318,0
2017-03-27,13320,13320,13279,13320,13320,0
2017-03-28,13307,13317,13292,13308,13308,0
2017-03-29,13308,13324,13294,13309,13309,0
2017-03-30,13301,13325,13291,13303,13303,0
2017-03-31,13298,13325,13298,13299,13299,0
2017-04-03,13332,13332,13302,13335,13335,0
2017-04-04,13315,13346,13306,13316,13316,0
2017-04-05,13331,13336,13315,13332,13332,0
2017-04-06,13317,13341,13306,13323,13323,0
2017-04-07,13352,13358,13300,13353,13353,0
2017-04-10,13371,13377,13238,13373,13373,0
2017-04-11,13270,13309,13253,13271,13271,0
2017-04-12,13293,13304,13257,13291,13291,0
2017-04-13,13278,13278,13238,13277,13277,0
2017-04-14,13273,13296,13238,13276,13276,0
2017-04-17,13284,13291,13249,13287,13287,0
2017-04-18,13279,13305,13278,13279,13279,0
2017-04-19,13294,13339,13282,13296,13296,0
2017-04-20,13342,13344,13301,13343,13343,0
2017-04-21,13317,13324,13306,13317,13317,0
2017-04-24,13100,13316,13100,13105,13105,0
2017-04-25,13104,13310,13099,13124,13124,0
2017-04-26,13296,13316,13268,13303,13303,0
2017-04-27,13255,13336,13252,13261,13261,0
2017-04-28,13350,13356,13302,13351,13351,0
2017-05-01,13322,13336,13309.5,13322,13322,0
2017-05-02,13331,13348,13292,13325,13325,0
2017-05-03,13296,13324,13282,13295,13295,0
2017-05-04,13308,13336,13308,13304,13304,0
2017-05-05,13338,13344,13309,13340,13340,0
2017-05-08,13312,13331,13294,13315,13315,0
2017-05-09,13319,13368,13311,13324,13324,0
2017-05-10,13358,13374,13336.5,13359,13359,0
2017-05-11,13354,13371,13325.5,13353,13353,0
2017-05-12,13312,13343,13311,13312,13312,0
2017-05-15,13323,13327,13283,13323,13323,0
