Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,3.7513,3.7513,3.7266,3.7513,3.7513,0
2017-01-03,3.7463,3.7511,3.744,3.7462,3.7462,0
2017-01-04,3.7461,3.7541,3.7452,3.7461,3.7461,0
2017-01-05,3.7461,3.7505,3.7441,3.7462,3.7462,0
2017-01-06,3.745,3.7515,3.7448,3.7462,3.7462,0
2017-01-09,3.7503,3.7518,3.7428,3.7503,3.7503,0
2017-01-10,3.7461,3.7506,3.7444,3.7461,3.7461,0
2017-01-11,3.7461,3.7504,3.7443,3.7457,3.7457,0
2017-01-12,3.7459,3.7503,3.7434,3.746,3.746,0
2017-01-13,3.7458,3.7502,3.745,3.7503,3.7503,0
2017-01-16,3.7503,3.7508,3.7449,3.7503,3.7503,0
2017-01-17,3.7461,3.7503,3.745,3.7461,3.7461,0
2017-01-18,3.7456,3.7503,3.7447,3.7454,3.7454,0
2017-01-19,3.7458,3.7515,3.7446,3.7459,3.7459,0
2017-01-20,3.7461,3.7502,3.7446,3.7459,3.7459,0
2017-01-23,3.7501,3.7503,3.7303,3.7501,3.7501,0
2017-01-24,3.7455,3.7501,3.7443,3.746,3.746,0
2017-01-25,3.7457,3.75,3.7443,3.7458,3.7458,0
2017-01-26,3.746,3.7502,3.7446,3.7458,3.7458,0
2017-01-27,3.7458,3.7502,3.7442,3.7498,3.7498,0
2017-01-30,3.7503,3.7503,3.736,3.7503,3.7503,0
2017-01-31,3.7455,3.7503,3.7264,3.7457,3.7457,0
2017-02-01,3.7458,3.7502,3.7449,3.7457,3.7457,0
2017-02-02,3.7461,3.7503,3.7446,3.746,3.746,0
2017-02-03,3.7502,3.7502,3.6959,3.7502,3.7502,0
2017-02-06,3.75,3.75,3.7456,3.75,3.75,0
2017-02-07,3.7452,3.7696,3.7444,3.7446,3.7446,0
2017-02-08,3.7456,3.75048,3.7443,3.7457,3.7457,0
2017-02-09,3.7458,3.7504,3.7452,3.7454,3.7454,0
2017-02-10,3.7459,3.7497,3.7449,3.746,3.746,0
2017-02-13,3.7502,3.752,3.7452,3.7502,3.7502,0
2017-02-14,3.7463,3.75,3.7448,3.7457,3.7457,0
2017-02-15,3.7457,3.7501,3.7453,3.7457,3.7457,0
2017-02-16,3.7457,3.75,3.7446,3.7458,3.7458,0
2017-02-17,3.7452,3.7501,3.7445,3.7457,3.7457,0
2017-02-20,3.7498,3.75,3.7415,3.7498,3.7498,0
2017-02-21,3.7456,3.7501,3.7442,3.7455,3.7455,0
2017-02-22,3.7458,3.7501,3.7419,3.7455,3.7455,0
2017-02-23,3.7455,3.75,3.7448,3.7457,3.7457,0
2017-02-24,3.7456,3.7498,3.7441,3.7458,3.7458,0
2017-02-27,3.7498,3.75,3.7432,3.7498,3.7498,0
2017-02-28,3.7453,3.75,3.7448,3.7453,3.7453,0
2017-03-01,3.7454,3.75,3.7448,3.7454,3.7454,0
2017-03-02,3.7455,3.7497,3.7446,3.745,3.745,0
2017-03-03,3.7457,3.7499,3.7372,3.7451,3.7451,0
2017-03-06,3.7495,3.7499,3.7453,3.7495,3.7495,0
2017-03-07,3.7456,3.7562,3.7452,3.7456,3.7456,0
2017-03-08,3.7457,3.7611,3.745,3.7455,3.7455,0
2017-03-09,3.7446,3.7499,3.7446,3.7457,3.7457,0
2017-03-10,3.7456,3.7502,3.7394,3.7455,3.7455,0
2017-03-13,3.7496,3.7504,3.7323,3.7496,3.7496,0
2017-03-14,3.7458,3.75,3.7434,3.7457,3.7457,0
2017-03-15,3.75,3.755,3.7449,3.75,3.75,0
2017-03-16,3.7459,3.75,3.7446,3.7457,3.7457,0
2017-03-17,3.7474,3.7496,3.7451,3.747,3.747,0
2017-03-20,3.7494,3.75,3.7349,3.7494,3.7494,0
2017-03-21,3.7456,3.7498,3.7448,3.7454,3.7454,0
2017-03-22,3.7455,3.75,3.7447,3.7454,3.7454,0
2017-03-23,3.7455,3.75,3.7448,3.7457,3.7457,0
2017-03-24,3.7457,3.75,3.7448,3.7455,3.7455,0
2017-03-27,3.7298,3.75,3.7217,3.7494,3.7494,0
2017-03-28,3.745,3.75,3.745,3.7455,3.7455,0
2017-03-29,3.7457,3.7501,3.7451,3.7452,3.7452,0
2017-03-30,3.7455,3.7485,3.7448,3.7454,3.7454,0
2017-03-31,3.7451,3.7501,3.7448,3.7456,3.7456,0
2017-04-03,3.7404,3.7488,3.7404,3.7494,3.7494,0
2017-04-04,3.7437,3.75,3.7437,3.7451,3.7451,0
2017-04-05,3.7453,3.7551,3.7451,3.7455,3.7455,0
2017-04-06,3.7457,3.7503,3.745,3.7457,3.7457,0
2017-04-07,3.7453,3.7502,3.7451,3.7457,3.7457,0
2017-04-10,3.7488,3.7502,3.7444,3.7494,3.7494,0
2017-04-11,3.7457,3.7502,3.7451,3.7455,3.7455,0
2017-04-12,3.7456,3.7502,3.7453,3.7456,3.7456,0
2017-04-13,3.7457,3.7501,3.7452,3.7457,3.7457,0
2017-04-14,3.7446,3.7501,3.7443,3.7452,3.7452,0
2017-04-17,3.7466,3.7502,3.7378,3.7494,3.7494,0
2017-04-18,3.7347,3.7486,3.7347,3.677,3.677,0
2017-04-19,3.746,3.7501,3.7451,3.7454,3.7454,0
2017-04-20,3.7449,3.7502,3.7444,3.7453,3.7453,0
2017-04-21,3.746,3.75,3.7448,3.7458,3.7458,0
2017-04-24,3.7498,3.7499,3.745,3.7494,3.7494,0
2017-04-25,3.7454,3.75,3.7444,3.7458,3.7458,0
2017-04-26,3.7449,3.7502,3.7449,3.7455,3.7455,0
2017-04-27,3.7456,3.7507,3.7444,3.7458,3.7458,0
2017-04-28,3.7449,3.7492,3.7304,3.7458,3.7458,0
2017-05-01,3.7429,3.7501,3.7429,3.7494,3.7494,0
2017-05-02,3.7461,3.7501,3.7452,3.7462,3.7462,0
2017-05-03,3.7449,3.7502,3.7449,3.7459,3.7459,0
2017-05-04,3.7461,3.7502,3.7311,3.7455,3.7455,0
2017-05-05,3.7457,3.7506,3.7449,3.7458,3.7458,0
2017-05-08,3.7581,3.7581,3.7453,3.7503,3.7503,0
2017-05-09,3.7456,3.7501,3.7442,3.7459,3.7459,0
2017-05-10,3.7465,3.7513,3.7452,3.746,3.746,0
2017-05-11,3.7467,3.7501,3.7454,3.7458,3.7458,0
2017-05-12,3.7469,3.7501,3.7454,3.7459,3.7459,0
2017-05-15,3.7471,3.7502,3.7453,3.75,3.75,0
2017-05-16,3.7461,3.7501,3.7452,3.7461,3.7461,0
2017-05-17,3.7469,3.7502,3.7455,3.7462,3.7462,0
2017-05-18,3.7468,3.7501,3.7446,3.7457,3.7457,0
2017-05-19,3.7464,3.7498,3.7451,3.746,3.746,0
2017-05-22,3.7473,3.7518,3.7447,3.7498,3.7498,0
2017-05-23,3.7463,3.7501,3.7446,3.7458,3.7458,0
2017-05-24,3.7471,3.7502,3.7453,3.7459,3.7459,0
2017-05-25,3.7462,3.7607,3.7454,3.7456,3.7456,0
2017-05-26,3.7458,3.7502,3.745,3.7457,3.7457,0
2017-05-29,3.7491,3.7499,3.7453,3.7499,3.7499,0
2017-05-30,3.7456,3.75,3.7451,3.7462,3.7462,0
2017-05-31,3.7456,3.75,3.7451,3.7457,3.7457,0
2017-06-01,3.7459,3.7501,3.7453,3.7498,3.7498,0
2017-06-02,3.7468,3.7502,3.7449,3.7457,3.7457,0
2017-06-05,3.7477,3.7603,3.7454,3.7497,3.7497,0
2017-06-06,3.7458,3.7505,3.7454,3.7457,3.7457,0
2017-06-07,3.7466,3.7584,3.7438,3.7458,3.7458,0
2017-06-08,3.7463,3.7589,3.7441,3.746,3.746,0
2017-06-09,3.7444,3.7668,3.7425,3.7452,3.7452,0
2017-06-12,3.7447,3.75,3.741,3.75,3.75,0
2017-06-13,3.7459,3.75,3.7452,3.7458,3.7458,0
2017-06-14,3.7452,3.75,3.7268,3.7455,3.7455,0
2017-06-15,3.7451,3.75,3.7451,3.7455,3.7455,0
2017-06-16,3.7444,3.7498,3.7444,3.7455,3.7455,0
2017-06-19,3.7427,3.7546,3.7427,3.7496,3.7496,0
2017-06-20,3.746,3.7501,3.7451,3.7457,3.7457,0
2017-06-21,3.7449,3.7499,3.7443,3.7454,3.7454,0
2017-06-22,3.7451,3.7508,3.7451,3.7451,3.7451,0
2017-06-23,3.7461,3.7513,3.7414,3.7458,3.7458,0
2017-06-26,3.7444,3.7518,3.7444,3.7501,3.7501,0
2017-06-27,3.7469,3.7518,3.7451,3.7465,3.7465,0
2017-06-28,3.7475,3.7503,3.7407,3.7471,3.7471,0
2017-06-29,3.746,3.75,3.7421,3.7462,3.7462,0
2017-06-30,3.7464,3.75,3.745,3.7457,3.7457,0
2017-07-03,3.7459,3.7525,3.7456,3.7496,3.7496,0
2017-07-04,3.746,3.7496,3.7447,3.7458,3.7458,0
2017-07-05,3.7454,3.7497,3.7452,3.7457,3.7457,0
2017-07-06,3.746,3.75,3.7452,3.7456,3.7456,0
2017-07-07,3.7467,3.7502,3.7453,3.7457,3.7457,0
2017-07-10,3.7448,3.75,3.7448,3.7498,3.7498,0
2017-07-11,null,null,null,null,null,null
2017-07-12,3.7453,3.7501,3.7444,3.7459,3.7459,0
2017-07-13,3.7461,3.7502,3.7448,3.7455,3.7455,0
2017-07-14,3.7455,3.75,3.7454,3.746,3.746,0
2017-07-17,3.7448,3.75,3.7423,3.75,3.75,0
2017-07-18,3.746,3.75,3.745,3.7458,3.7458,0
2017-07-19,3.7465,3.7613,3.7451,3.7458,3.7458,0
2017-07-20,3.7461,3.7498,3.7454,3.7456,3.7456,0
2017-07-21,3.7465,3.75,3.7449,3.7458,3.7458,0
2017-07-24,3.7402,3.7581,3.7402,3.7496,3.7496,0
2017-07-25,3.7458,3.75,3.7453,3.7456,3.7456,0
2017-07-26,3.745,3.7518,3.745,3.7456,3.7456,0
2017-07-27,3.7461,3.75,3.7449,3.7459,3.7459,0
2017-07-28,3.7461,3.7498,3.7454,3.7457,3.7457,0
2017-07-31,3.747,3.7498,3.744,3.7498,3.7498,0
2017-08-01,3.7463,3.75,3.7452,3.7459,3.7459,0
2017-08-02,3.7462,3.7512,3.7449,3.7459,3.7459,0
2017-08-03,3.7461,3.75,3.7454,3.7459,3.7459,0
2017-08-04,3.746,3.7501,3.7452,3.7458,3.7458,0
2017-08-07,3.7436,3.7498,3.7399,3.7499,3.7499,0
2017-08-08,3.7458,3.7499,3.7451,3.746,3.746,0
