Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,3.5349,3.54485,3.5244,3.5349,3.5349,0
2017-01-03,3.5428,3.6031,3.53529,3.5419,3.5419,0
2017-01-04,3.59115,3.5931,3.567,3.5923,3.5923,0
2017-01-05,3.5693,3.63486,3.55536,3.56937,3.56937,0
2017-01-06,3.5927,3.636,3.59137,3.59191,3.59191,0
2017-01-09,3.63973,3.742,3.63928,3.63983,3.63983,0
2017-01-10,3.70869,3.78498,3.707,3.70849,3.70849,0
2017-01-11,3.7983,3.93565,3.7971,3.79825,3.79825,0
2017-01-12,3.8737,3.92763,3.7498,3.8741,3.8741,0
2017-01-13,3.7634,3.8244,3.75131,3.76341,3.76341,0
2017-01-16,3.738,3.80986,3.73489,3.73778,3.73778,0
2017-01-17,3.80603,3.81484,3.75936,3.80603,3.80603,0
2017-01-18,3.76001,3.796,3.75642,3.7608,3.7608,0
2017-01-19,3.8063,3.84057,3.7875,3.80657,3.80657,0
2017-01-20,3.82683,3.83307,3.78906,3.827,3.827,0
2017-01-23,3.76441,3.78569,3.7515,3.76543,3.76543,0
2017-01-24,3.7547,3.82486,3.7355,3.7545,3.7545,0
2017-01-25,3.7828,3.85546,3.78,3.78191,3.78191,0
2017-01-26,3.83055,3.87047,3.8085,3.8334,3.8334,0
2017-01-27,3.8598,3.90776,3.85114,3.8598,3.8598,0
2017-01-30,3.8686,3.87808,3.77062,3.868,3.868,0
2017-01-31,3.77619,3.80349,3.7665,3.77619,3.77619,0
2017-02-01,3.7729,3.79369,3.759,3.7725,3.7725,0
2017-02-02,3.77149,3.77347,3.71969,3.77156,3.77156,0
2017-02-03,3.738,3.75767,3.68773,3.73451,3.73451,0
2017-02-06,3.7041,3.7048,3.66129,3.70083,3.70083,0
2017-02-07,3.68754,3.74752,3.68358,3.687,3.687,0
2017-02-08,3.7418,3.75906,3.7109,3.74069,3.74069,0
2017-02-09,3.70952,3.72351,3.67499,3.7105,3.7105,0
2017-02-10,3.68275,3.70989,3.66454,3.6842,3.6842,0
2017-02-13,3.68561,3.69916,3.6736,3.68602,3.68602,0
2017-02-14,3.6705,3.67488,3.638,3.6707,3.6707,0
2017-02-15,3.6519,3.70168,3.6381,3.6519,3.6519,0
2017-02-16,3.6564,3.6868,3.6484,3.65588,3.65588,0
2017-02-17,3.6665,3.6813,3.62947,3.6674,3.6674,0
2017-02-20,3.6303,3.63655,3.61347,3.6306,3.6306,0
2017-02-21,3.62344,3.63512,3.6144,3.62344,3.62344,0
2017-02-22,3.62586,3.62593,3.5949,3.62523,3.62523,0
2017-02-23,3.582,3.58922,3.55603,3.5825,3.5825,0
2017-02-24,3.568,3.59498,3.56587,3.5683,3.5683,0
2017-02-27,3.59747,3.6043,3.5826,3.59899,3.59899,0
2017-02-28,3.6065,3.63219,3.5975,3.6069,3.6069,0
2017-03-01,3.6424,3.6777,3.6253,3.6422,3.6422,0
2017-03-02,3.65005,3.71505,3.64941,3.6505,3.6505,0
2017-03-03,3.7276,3.74564,3.711,3.72676,3.72676,0
2017-03-06,3.70982,3.72666,3.7029,3.70978,3.70978,0
2017-03-07,3.7144,3.7144,3.6705,3.71333,3.71333,0
2017-03-08,3.67774,3.74487,3.67036,3.6786,3.6786,0
2017-03-09,3.7447,3.76908,3.7376,3.74407,3.74407,0
2017-03-10,3.77308,3.784,3.72371,3.77326,3.77326,0
2017-03-13,3.73978,3.75204,3.73303,3.73978,3.73978,0
2017-03-14,3.7411,3.76088,3.73996,3.741,3.741,0
2017-03-15,3.7395,3.74772,3.7139,3.7406,3.7406,0
2017-03-16,3.6763,3.69127,3.6261,3.67398,3.67398,0
2017-03-17,3.628,3.63039,3.60136,3.6281,3.6281,0
2017-03-20,3.62864,3.63758,3.62097,3.62865,3.62865,0
2017-03-21,3.62375,3.62917,3.5872,3.6233,3.6233,0
2017-03-22,3.63249,3.64355,3.6049,3.6324,3.6324,0
2017-03-23,3.61596,3.63244,3.60825,3.6157,3.6157,0
2017-03-24,3.63195,3.63773,3.609,3.6329,3.6329,0
2017-03-27,3.59997,3.62394,3.585,3.6015,3.6015,0
2017-03-28,3.61369,3.63067,3.60601,3.6151,3.6151,0
2017-03-29,3.65649,3.65991,3.6366,3.65655,3.65655,0
2017-03-30,3.6438,3.65272,3.6251,3.6437,3.6437,0
2017-03-31,3.6541,3.6548,3.6301,3.6543,3.6543,0
2017-04-03,3.62845,3.6496,3.62441,3.62848,3.62848,0
2017-04-04,3.644,3.66881,3.6387,3.6442,3.6442,0
2017-04-05,3.6763,3.7088,3.6678,3.6776,3.6776,0
2017-04-06,3.7066,3.72777,3.7017,3.7039,3.7039,0
2017-04-07,3.7054,3.73915,3.70519,3.70524,3.70524,0
2017-04-10,3.7226,3.73629,3.71605,3.728,3.728,0
2017-04-11,3.7281,3.73177,3.704,3.7282,3.7282,0
2017-04-12,3.695,3.7026,3.65586,3.6949,3.6949,0
2017-04-13,3.6479,3.67803,3.6405,3.647,3.647,0
2017-04-14,3.66928,3.69627,3.6622,3.66777,3.66777,0
2017-04-17,3.6354,3.67956,3.63205,3.6357,3.6357,0
2017-04-18,3.70127,3.713,3.6634,3.70092,3.70092,0
2017-04-19,3.65728,3.6758,3.655,3.65541,3.65541,0
2017-04-20,3.6732,3.674,3.6277,3.67185,3.67185,0
2017-04-21,3.6406,3.6534,3.6332,3.6408,3.6408,0
2017-04-24,3.6129,3.62384,3.5718,3.6127,3.6127,0
2017-04-25,3.5759,3.60401,3.5703,3.57515,3.57515,0
2017-04-26,3.57776,3.59741,3.5603,3.57769,3.57769,0
2017-04-27,3.57201,3.5765,3.5566,3.5707,3.5707,0
2017-04-28,3.56242,3.57143,3.5414,3.5633,3.5633,0
2017-05-01,3.5516,3.55642,3.5451,3.5529,3.5529,0
2017-05-02,3.5532,3.55505,3.5208,3.5532,3.5532,0
2017-05-03,3.5201,3.54025,3.5201,3.5226,3.5226,0
2017-05-04,3.53384,3.56703,3.529,3.5338,3.5338,0
2017-05-05,3.5531,3.57693,3.5434,3.55371,3.55371,0
2017-05-08,3.54043,3.58127,3.52867,3.54043,3.54043,0
2017-05-09,3.58367,3.61022,3.5796,3.5846,3.5846,0
2017-05-10,3.62235,3.6252,3.58081,3.62256,3.62256,0
2017-05-11,3.58399,3.5915,3.5666,3.5839,3.5839,0
2017-05-12,3.5772,3.59818,3.5659,3.5773,3.5773,0
2017-05-15,3.5721,3.5725,3.54799,3.5724,3.5724,0
2017-05-16,3.54636,3.56245,3.53647,3.5467,3.5467,0
2017-05-17,3.5418,3.56844,3.5412,3.54175,3.54175,0
2017-05-18,3.58603,3.64137,3.57928,3.584,3.584,0
2017-05-19,3.6233,3.62626,3.5794,3.62247,3.62247,0
2017-05-22,3.57572,3.59311,3.5512,3.57566,3.57566,0
2017-05-23,3.56454,3.5768,3.55699,3.5659,3.5659,0
2017-05-24,3.5745,3.57922,3.5564,3.57378,3.57378,0
2017-05-25,3.55748,3.56885,3.54871,3.5585,3.5585,0
2017-05-26,3.5674,3.58092,3.563,3.5673,3.5673,0
2017-05-29,3.5772,3.58305,3.5732,3.5772,3.5772,0
2017-05-30,3.57947,3.58711,3.5405,3.5801,3.5801,0
2017-05-31,3.5524,3.5524,3.52714,3.5525,3.5525,0
2017-06-01,3.5279,3.54347,3.524,3.5282,3.5282,0
2017-06-02,3.5297,3.53781,3.508,3.5298,3.5298,0
