Date,Adj_Close,Open,High,Low,Vol.,Change %
11/11/2022,150413.34,"144,879.06","150,608.41","144,879.06",,3.82%
10/11/2022,144879.06,"143,091.48","147,722.77","143,091.48",,1.25%
09/11/2022,143091.48,"148,059.80","148,182.28","142,796.56",,-3.27%
08/11/2022,147924.03,"147,829.64","150,161.19","145,978.56",,0.06%
07/11/2022,147829.64,"151,491.70","153,569.63","147,648.00",,-2.27%
04/11/2022,151263.25,"150,451.02","152,899.69","150,405.23",,0.54%
03/11/2022,150451.02,"149,315.06","151,577.70","147,989.89",,0.76%
02/11/2022,149309.36,"153,002.14","153,102.03","149,259.42",,-2.41%
01/11/2022,153002.14,"149,938.31","154,031.50","149,938.31",,2.04%
31/10/2022,149938.31,"147,867.52","150,238.84","147,645.02",,1.42%
28/10/2022,147845.41,"148,147.13","148,426.44","145,936.13",,-0.18%
27/10/2022,148109.61,"145,028.47","148,808.67","144,916.97",,2.12%
26/10/2022,145028.47,"143,962.91","145,802.77","143,962.91",,0.74%
25/10/2022,143959.36,"139,733.39","144,060.78","139,710.55",,3.02%
24/10/2022,139733.39,"138,944.80","140,421.42","136,188.58",,0.57%
21/10/2022,138944.8,"136,138.78","139,218.97","136,138.78",,2.06%
20/10/2022,136138.78,"136,484.20","139,712.72","135,631.72",,-0.25%
19/10/2022,136484.2,"137,542.20","138,156.34","136,155.95",,-0.77%
18/10/2022,137542.2,"138,953.48","139,750.53","136,685.13",,-1.02%
17/10/2022,138953.48,"137,290.73","140,431.64","137,290.73",,1.21%
14/10/2022,137290.73,"140,763.77","140,763.77","136,909.70",,-2.47%
13/10/2022,140763.77,"136,396.44","140,970.06","135,791.30",,3.20%
12/10/2022,136396.44,"136,982.38","137,331.94","135,657.66",,-0.43%
11/10/2022,136982.38,"144,645.33","144,645.33","136,712.88",,-5.30%
06/10/2022,144645.33,"146,722.88","147,256.70","144,518.89",,-1.42%
05/10/2022,146722.88,"144,926.66","148,056.33","143,549.97",,1.24%
04/10/2022,144926.66,"145,068.69","147,619.30","144,399.06",,-0.09%
03/10/2022,145062.98,"139,137.20","145,271.28","139,137.20",,4.28%
30/09/2022,139115.09,"138,041.98","140,154.36","137,832.23",,0.80%
29/09/2022,138004.48,"138,023.36","138,628.89","134,864.61",,-0.01%
28/09/2022,138023.36,"135,472.73","138,402.02","135,472.73",,1.88%
27/09/2022,135472.73,"138,148.27","140,167.27","134,814.89",,-1.94%
26/09/2022,138148.27,"142,931.73","143,803.55","136,991.16",,-3.35%
23/09/2022,142931.73,"149,480.84","149,480.84","142,610.00",,-4.38%
22/09/2022,149480.84,"146,980.13","149,766.02","146,578.31",,1.70%
21/09/2022,146980.13,"147,929.75","148,433.03","145,631.73",,-0.64%
20/09/2022,147929.75,"150,262.08","150,953.86","147,227.70",,-1.55%
19/09/2022,150262.08,"145,741.81","150,971.41","145,296.84",,3.10%
16/09/2022,145741.81,"144,765.55","146,790.77","143,422.95",,0.67%
15/09/2022,144765.55,"146,750.05","148,452.17","143,894.27",,-1.35%
14/09/2022,146750.05,"142,941.59","146,990.06","142,941.59",,2.66%
13/09/2022,142941.59,"144,714.11","145,873.56","142,768.23",,-1.22%
12/09/2022,144714.11,"144,642.19","147,135.34","144,269.28",,0.05%
09/09/2022,144642.19,"141,509.31","144,848.36","141,509.31",,2.21%
08/09/2022,141509.31,"141,189.48","144,110.63","140,530.31",,0.36%
07/09/2022,141001.53,"137,309.27","141,870.75","136,326.30",,2.69%
06/09/2022,137309.27,"138,268.03","138,701.11","136,595.48",,-0.69%
05/09/2022,138268.03,"136,369.09","139,989.19","136,369.09",,1.44%
01/09/2022,136302.13,"136,240.97","137,706.94","134,328.98",,0.04%
31/08/2022,136240.97,"141,133.59","142,206.16","136,050.73",,-3.47%
30/08/2022,141133.59,"143,805.16","143,805.16","140,446.80",,-1.86%
29/08/2022,143805.16,"141,459.95","145,859.42","140,996.20",,1.66%
26/08/2022,141459.95,"142,777.63","143,246.84","138,832.80",,-0.92%
25/08/2022,142777.63,"140,246.05","143,037.52","139,342.69",,1.81%
24/08/2022,140246.05,"136,997.69","140,800.06","136,290.95",,2.37%
23/08/2022,136997.69,"132,252.56","137,322.61","132,252.56",,3.59%
22/08/2022,132252.56,"131,009.08","132,419.77","129,648.85",,0.95%
19/08/2022,131009.08,"131,490.91","131,490.91","128,619.82",,-0.37%
18/08/2022,131490.91,"125,962.94","131,584.88","125,962.94",,4.39%
17/08/2022,125962.94,"124,787.34","126,151.06","124,106.22",,0.94%
16/08/2022,124787.34,"125,979.57","127,589.79","123,681.83",,-0.95%
12/08/2022,125979.57,"123,333.93","126,263.46","123,333.93",,2.15%
11/08/2022,123333.93,"122,129.90","124,616.97","122,129.90",,0.99%
10/08/2022,122129.9,"121,920.79","123,108.25","121,243.26",,0.17%
09/08/2022,121920.79,"123,953.36","123,953.36","121,707.72",,-1.64%
08/08/2022,123953.36,"121,003.89","124,194.48","121,003.89",,2.44%
05/08/2022,121003.89,"120,437.18","122,564.53","120,437.18",,0.47%
04/08/2022,120437.18,"120,389.93","121,699.30","119,097.40",,0.04%
03/08/2022,120389.93,"118,691.20","120,658.11","118,114.42",,1.43%
02/08/2022,118691.2,"117,592.51","120,092.17","117,144.50",,0.94%
01/08/2022,117586.78,"122,551.36","122,870.90","117,255.14",,-4.03%
29/07/2022,122528.27,"127,592.57","130,078.83","122,223.13",,-3.82%
28/07/2022,127400,"126,361.98","130,650.78","124,416.80",,0.82%
27/07/2022,126361.98,"120,038.38","126,670.33","118,813.91",,5.27%
26/07/2022,120038.38,"119,508.31","121,436.69","118,521.36",,0.44%
25/07/2022,119508.31,"113,851.41","119,805.83","113,851.41",,4.97%
22/07/2022,113851.41,"112,017.03","114,070.16","111,070.23",,1.64%
21/07/2022,112017.03,"106,949.06","113,408.54","106,333.99",,4.74%
20/07/2022,106949.06,"107,185.43","107,648.06","106,016.87",,-0.22%
19/07/2022,107185.43,"105,441.24","107,547.08","105,441.24",,1.65%
18/07/2022,105441.24,"104,222.92","106,523.39","104,222.92",,1.17%
15/07/2022,104222.92,"100,518.41","104,351.34","100,430.45",,3.69%
14/07/2022,100518.41,"102,270.96","102,270.96","100,026.97",,-1.71%
13/07/2022,102270.96,"103,209.83","103,369.45","101,955.15",,-0.91%
12/07/2022,103209.83,"104,431.92","104,445.42","101,790.59",,-1.17%
11/07/2022,104431.92,"105,851.67","105,851.67","101,922.03",,-1.34%
08/07/2022,105850.01,"102,591.51","106,469.99","101,143.99",,3.51%
07/07/2022,102265.41,"95,075.87","102,585.79","95,075.87",,7.56%
06/07/2022,95075.87,"92,689.47","95,199.72","90,918.51",,2.57%
05/07/2022,92689.47,"89,134.49","92,950.40","89,066.26",,3.99%
04/07/2022,89128.79,"90,249.12","90,249.12","87,005.58",,-1.02%
01/07/2022,90050.78,"88,449.89","90,276.51","87,760.97",,1.81%
30/06/2022,88449.89,"88,130.75","89,244.56","85,765.30",,0.36%
29/06/2022,88130.75,"88,194.70","88,544.18","86,567.35",,-0.07%
28/06/2022,88194.7,"85,712.27","88,349.61","85,712.27",,2.90%
27/06/2022,85712.27,"82,605.64","85,785.12","82,374.26",,3.76%
24/06/2022,82605.64,"83,170.06","84,061.25","82,295.51",,-0.68%
23/06/2022,83170.06,"85,662.48","85,662.48","81,977.46",,-2.91%
22/06/2022,85662.48,"86,545.90","86,624.76","85,412.04",,-1.02%
21/06/2022,86545.9,"87,060.90","87,503.88","86,392.26",,-0.59%
16/06/2022,87060.9,"88,465.55","88,465.55","86,564.63",,-1.59%
15/06/2022,88465.55,"87,400.00","88,789.13","87,400.00",,1.22%
14/06/2022,87400,"87,937.89","88,976.39","86,632.60",,-0.61%
13/06/2022,87937.89,"89,143.04","89,143.04","86,617.30",,-1.35%
10/06/2022,89141.39,"88,869.78","89,171.71","87,329.87",,0.31%
09/06/2022,88869.78,"89,982.30","89,982.30","88,282.21",,-1.20%
08/06/2022,89946.88,"90,938.11","91,218.84","89,843.60",,-1.09%
07/06/2022,90938.11,"90,385.84","91,063.79","90,141.45",,0.65%
06/06/2022,90351.73,"91,775.17","92,579.51","90,035.26",,-1.55%
03/06/2022,91775.17,"91,678.62","92,025.59","91,343.54",,0.35%
02/06/2022,91452.04,"91,369.58","92,141.32","90,732.23",,0.09%
01/06/2022,91369.58,"92,288.03","92,489.39","90,607.70",,-1.00%
31/05/2022,92288.03,"93,236.24","93,552.08","91,792.33",,-1.02%
30/05/2022,93236.24,"93,683.29","94,207.30","93,120.33",,-0.48%
27/05/2022,93683.29,"93,710.99","94,319.11","93,518.95",,-0.03%
26/05/2022,93710.99,"91,271.67","93,776.47","91,271.67",,2.67%
24/05/2022,91271.67,"90,344.05","91,447.90","89,835.74",,1.03%
23/05/2022,90344.05,"88,118.96","90,525.42","87,698.05",,2.53%
20/05/2022,88118.96,"88,634.32","89,799.93","87,330.94",,-0.58%
19/05/2022,88634.32,"90,803.43","90,803.43","88,634.32",,-2.39%
17/05/2022,90803.43,"89,964.80","91,857.03","89,964.80",,0.93%
16/05/2022,89964.8,"88,795.76","90,385.92","88,500.97",,1.32%
13/05/2022,88795.76,"85,532.83","88,974.53","85,532.83",,3.83%
12/05/2022,85520.83,"85,762.84","86,786.67","84,285.57",,-0.28%
11/05/2022,85762.84,"83,676.75","85,884.39","83,676.75",,2.49%
10/05/2022,83676.75,"82,243.55","83,839.19","81,962.83",,1.74%
09/05/2022,82243.55,"86,544.82","86,544.82","82,166.92",,-4.93%
06/05/2022,86507.22,"86,434.10","87,178.82","85,155.52",,0.08%
05/05/2022,86434.1,"89,909.37","89,909.37","86,229.26",,-3.32%
04/05/2022,89401.35,"89,634.64","89,638.18","88,415.69",,-0.21%
03/05/2022,89585.33,"87,608.13","89,751.28","87,515.70",,2.26%
02/05/2022,87608.13,"88,250.97","88,250.97","86,661.63",,-0.73%
29/04/2022,88250.97,"90,354.23","91,371.15","88,176.23",,-2.33%
28/04/2022,90354.23,"90,033.25","91,019.08","89,337.51",,0.36%
27/04/2022,90033.25,"89,574.68","90,913.66","89,363.49",,0.51%
26/04/2022,89574.68,"91,154.73","91,154.73","89,213.99",,-1.73%
25/04/2022,91154.43,"91,792.35","91,792.35","88,790.18",,-0.61%
22/04/2022,91717.07,"91,656.75","92,688.46","91,414.05",,0.24%
21/04/2022,91496.13,"92,559.34","93,140.99","91,263.00",,-1.15%
20/04/2022,92559.34,"92,038.35","92,741.65","91,120.42",,0.57%
19/04/2022,92038.35,"91,239.22","92,151.51","90,939.16",,0.88%
18/04/2022,91239.22,"91,041.37","92,777.82","90,977.07",,0.22%
13/04/2022,91041.37,"90,345.86","91,115.97","89,982.76",,0.77%
12/04/2022,90345.86,"90,629.89","91,426.12","89,924.45",,-0.31%
11/04/2022,90629.89,"92,091.47","92,245.72","90,487.64",,-1.59%
08/04/2022,92091.47,"91,558.17","92,488.57","91,558.17",,0.58%
07/04/2022,91558.17,"90,973.03","91,686.69","89,848.35",,0.64%
06/04/2022,90973.03,"91,814.30","91,814.30","89,921.83",,-0.92%
05/04/2022,91814.3,"93,218.66","94,374.34","91,811.62",,-1.51%
04/04/2022,93218.66,"92,390.98","93,480.43","92,390.98",,0.90%
01/04/2022,92390.98,"90,979.02","92,571.02","90,979.02",,1.57%
31/03/2022,90959.59,"90,867.58","92,039.01","90,702.49",,0.10%
30/03/2022,90867.58,"89,967.25","91,215.27","89,966.28",,1.00%
29/03/2022,89967.25,"91,662.96","92,046.08","89,874.97",,-1.85%
28/03/2022,91662.96,"93,010.43","93,058.55","91,643.90",,-1.45%
25/03/2022,93010.43,"90,106.60","93,313.21","90,106.60",,3.22%
23/03/2022,90106.6,"90,170.10","91,891.00","89,773.04",,-0.07%
22/03/2022,90170.1,"90,041.05","91,362.50","89,979.33",,0.14%
21/03/2022,90041.05,"89,057.57","90,989.16","89,032.58",,1.10%
18/03/2022,89057.57,"89,645.88","90,693.78","88,790.42",,-0.66%
17/03/2022,89645.88,"87,450.87","89,789.98","87,450.87",,2.51%
16/03/2022,87450.87,"84,054.72","87,661.26","84,054.72",,4.04%
15/03/2022,84054.72,"84,955.90","84,955.90","83,570.00",,-1.06%
14/03/2022,84955.9,"88,999.06","89,003.20","84,747.71",,-4.54%
11/03/2022,88999.06,"90,283.10","91,465.74","88,620.32",,-1.42%
10/03/2022,90283.1,"87,226.46","90,393.34","87,138.68",,3.50%
09/03/2022,87226.46,"88,061.14","89,354.10","87,003.09",,-0.95%
08/03/2022,88061.14,"87,948.21","88,061.14","88,061.14",,0.13%
07/03/2022,87948.21,"89,515.44","90,713.33","87,788.81",,-1.75%
04/03/2022,89515.44,"91,558.04","91,988.91","88,451.40",,-2.23%
03/03/2022,91558.04,"90,248.93","91,759.16","88,415.66",,1.45%
02/03/2022,90248.93,"87,969.87","90,469.79","87,969.87",,2.59%
25/02/2022,87969.87,"88,721.46","89,836.88","87,785.50",,-0.85%
24/02/2022,88721.46,"91,359.52","91,359.52","87,311.53",,-2.89%
23/02/2022,91359.52,"90,440.55","91,764.30","89,401.16",,1.02%
22/02/2022,90440.55,"90,029.49","91,166.39","89,789.18",,0.46%
21/02/2022,90029.49,"89,443.19","90,391.92","89,333.31",,0.66%
18/02/2022,89443.19,"89,977.89","90,724.45","88,325.33",,-0.59%
17/02/2022,89977.89,"90,577.55","91,286.02","89,977.89",,-0.66%
16/02/2022,90577.55,"88,042.62","90,775.96","87,991.58",,2.88%
15/02/2022,88042.62,"87,803.68","88,824.86","87,594.29",,0.27%
14/02/2022,87803.68,"88,184.99","88,773.70","87,321.49",,-0.43%
11/02/2022,88184.99,"87,559.37","89,904.46","87,468.08",,0.71%
10/02/2022,87559.37,"87,393.09","88,462.99","86,994.38",,0.19%
09/02/2022,87393.09,"88,149.17","89,097.93","87,309.28",,-0.86%
08/02/2022,88149.17,"89,189.09","89,877.09","88,091.95",,-1.17%
07/02/2022,89189.09,"87,934.02","89,438.90","87,934.02",,1.43%
04/02/2022,87934.02,"88,091.28","88,637.16","87,225.92",,-0.18%
03/02/2022,88091.28,"89,662.66","89,813.01","87,745.89",,-1.75%
02/02/2022,89662.66,"91,416.55","92,732.37","89,490.72",,-1.92%
01/02/2022,91416.55,"90,907.51","91,802.78","88,669.05",,0.56%
31/01/2022,90907.51,"88,269.83","91,012.35","87,937.39",,2.99%
