Date,Adj_Close,Open,High,Low,Vol.,Change %
2022-11-11,7158.0,"6,964.00","7,170.60","6,964.00",1.16B,2.79%
2022-11-10,6964.0,"6,999.30","6,999.30","6,954.50",730.50M,-0.50%
2022-11-09,6999.3,"6,958.90","7,012.40","6,958.90",775.32M,0.58%
2022-11-08,6958.9,"6,933.70","6,968.00","6,933.70",712.84M,0.36%
2022-11-07,6933.7,"6,892.50","6,943.40","6,892.50",688.84M,0.60%
2022-11-04,6892.5,"6,857.90","6,895.00","6,829.60",665.49M,0.50%
2022-11-03,6857.9,"6,986.70","6,986.70","6,823.00",693.51M,-1.84%
2022-11-02,6986.7,"6,976.90","7,011.70","6,976.90",804.69M,0.14%
2022-11-01,6976.9,"6,863.50","6,976.90","6,858.20",715.85M,1.65%
2022-10-31,6863.5,"6,785.70","6,869.20","6,785.70",1.00B,1.15%
2022-10-28,6785.7,"6,845.10","6,845.10","6,776.00",784.05M,-0.87%
2022-10-27,6845.1,"6,810.90","6,873.80","6,810.90",779.41M,0.50%
2022-10-26,6810.9,"6,798.60","6,843.20","6,798.60",820.62M,0.18%
2022-10-25,6798.6,"6,779.40","6,831.30","6,779.40",753.44M,0.28%
2022-10-24,6779.4,"6,676.80","6,823.30","6,676.80",682.73M,1.54%
2022-10-21,6676.8,"6,730.70","6,730.70","6,667.60",741.69M,-0.80%
2022-10-20,6730.7,"6,800.10","6,800.10","6,702.10",896.88M,-1.02%
2022-10-19,6800.1,"6,779.20","6,822.20","6,777.50",737.37M,0.31%
2022-10-18,6779.2,"6,664.40","6,790.70","6,664.40",834.30M,1.72%
2022-10-17,6664.4,"6,758.90","6,758.90","6,645.20",712.25M,-1.40%
2022-10-14,6758.8,"6,642.60","6,772.60","6,642.60",663.86M,1.75%
2022-10-13,6642.6,"6,647.50","6,683.70","6,638.90",695.14M,-0.07%
2022-10-12,6647.5,"6,645.00","6,672.00","6,633.00",721.32M,0.04%
2022-10-11,6645.0,"6,667.80","6,712.50","6,645.00",746.55M,-0.34%
2022-10-10,6667.8,"6,762.80","6,762.80","6,646.80",588.25M,-1.40%
2022-10-07,6762.8,"6,817.50","6,817.50","6,762.70",688.95M,-0.80%
2022-10-06,6817.5,"6,815.60","6,828.30","6,787.40",810.28M,0.03%
2022-10-05,6815.7,"6,699.30","6,819.70","6,699.30",1.06B,1.74%
2022-10-04,6699.3,"6,456.90","6,699.30","6,456.90",986.46M,3.75%
2022-10-03,6456.9,"6,474.20","6,503.50","6,411.90",647.00M,-0.27%
2022-09-30,6474.2,"6,555.00","6,563.20","6,460.60",1.01B,-1.23%
2022-09-29,6555.0,"6,462.00","6,594.70","6,462.00",846.90M,1.44%
2022-09-28,6462.0,"6,496.20","6,516.50","6,433.10",967.67M,-0.53%
2022-09-27,6496.2,"6,469.40","6,509.50","6,469.40",1.01B,0.41%
2022-09-26,6469.4,"6,574.70","6,574.70","6,435.60",1.09B,-1.60%
2022-09-23,6574.7,"6,700.20","6,709.00","6,544.90",902.79M,-1.87%
2022-09-21,6700.2,"6,806.40","6,806.40","6,695.00",832.36M,-1.56%
2022-09-20,6806.4,"6,719.90","6,808.30","6,719.90",667.56M,1.29%
2022-09-19,6719.9,"6,739.10","6,753.90","6,714.70",767.54M,-0.28%
2022-09-16,6739.1,"6,842.90","6,842.90","6,736.30",1.74B,-1.52%
2022-09-15,6842.9,"6,828.60","6,878.10","6,828.60",942.02M,0.18%
2022-09-14,6830.8,"7,008.20","7,008.20","6,808.60",606.49M,-2.61%
2022-09-13,7013.7,"6,964.50","7,015.20","6,964.50",611.00M,0.72%
2022-09-12,6963.7,"6,894.20","6,974.90","6,894.20",463.19M,0.98%
2022-09-09,6896.1,"6,848.70","6,898.50","6,848.70",586.70M,0.87%
2022-09-08,6836.4,"6,729.30","6,841.10","6,729.30",608.58M,1.60%
2022-09-07,6728.8,"6,826.50","6,826.50","6,719.60",635.12M,-1.43%
2022-09-06,6826.3,"6,852.20","6,888.50","6,826.10",517.12M,-0.24%
2022-09-05,6842.4,"6,828.70","6,858.00","6,822.80",456.51M,0.23%
2022-09-02,6826.9,"6,845.60","6,854.90","6,820.50",498.37M,-0.51%
2022-09-01,6861.7,"6,986.80","6,986.80","6,836.50",600.68M,-1.79%
2022-08-31,6986.8,"6,998.30","6,998.30","6,937.50",948.36M,-0.16%
2022-08-30,6998.3,"6,965.50","7,020.00","6,965.50",720.80M,0.47%
