Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,60227,60227,59371,59589,59589,808700
2017-01-03,59631,61815,59631,61814,61814,3328300
2017-01-04,61811,61940,61302,61589,61589,2840800
2017-01-05,61594,62409,61594,62071,62071,3313000
2017-01-06,62072,62072,61396,61665,61665,2374800
2017-01-09,61680,62112,61307,61700,61700,2480800
2017-01-10,61710,62446,61710,62132,62132,2623400
2017-01-11,62134,62674,61665,62446,62446,3139800
2017-01-12,62448,64342,62448,63954,63954,4535000
2017-01-13,63940,64092,63366,63652,63652,2735500
2017-01-16,63652,64014,63556,63831,63831,1763700
2017-01-17,63827,64658,63456,64354,64354,2933800
2017-01-18,64360,64680,64063,64150,64150,3008900
2017-01-19,64145,64456,63574,63951,63951,2867100
2017-01-20,63951,64694,63951,64521,64521,3416700
2017-01-23,64519,65816,64500,65749,65749,2957000
2017-01-24,65752,66173,65615,65840,65840,3850500
2017-01-26,65842,66594,65842,66191,66191,3494100
2017-01-27,66195,66242,65876,66034,66034,2583400
2017-01-30,66025,66025,64165,64302,64302,2264300
2017-01-31,64310,64901,64284,64671,64671,2737700
2017-02-01,64687,65594,64687,64836,64836,3214300
2017-02-02,64835,65132,64163,64578,64578,2959200
2017-02-03,64579,65387,64264,64954,64954,3482700
2017-02-06,64957,65327,63933,63993,63993,2551400
2017-02-07,64022,64815,63938,64199,64199,2776200
2017-02-08,64200,64835,63740,64835,64835,3138600
2017-02-09,64850,65302,64587,64965,64965,2641700
2017-02-10,64965,66292,64935,66125,66125,3439000
2017-02-13,66125,67094,66125,66968,66968,3108800
2017-02-14,66971,67110,66251,66713,66713,3370900
2017-02-15,66712,68016,66712,67976,67976,4119600
2017-02-16,67979,68456,67661,67814,67814,3550800
2017-02-17,67814,67819,67158,67748,67748,2787300
2017-02-20,67756,68674,67756,68533,68533,2171300
2017-02-21,68536,69112,68536,69052,69052,3051100
2017-02-22,69052,69052,68282,68590,68590,3374600
2017-02-23,68590,69488,67279,67461,67461,3977800
2017-02-24,67458,67458,66452,66662,66662,3059900
2017-03-01,66661,67398,66661,66989,66989,2378500
2017-03-02,67000,67035,65594,65855,65855,3095300
2017-03-03,65860,66801,65860,66786,66786,2654400
2017-03-06,66786,66892,66119,66341,66341,3337500
2017-03-07,66343,66641,65668,65742,65742,2886200
2017-03-08,65748,65810,64496,64718,64718,3727200
2017-03-09,64718,65068,64203,64585,64585,3513300
2017-03-10,64586,65725,64472,64675,64675,3432900
2017-03-13,64674,65651,64674,65534,65534,2162800
2017-03-14,65511,65549,64699,64699,64699,2824800
2017-03-15,64702,66318,64537,66235,66235,3742100
2017-03-16,66232,66554,65531,65783,65783,2860400
2017-03-17,65783,66205,64152,64210,64210,5213000
2017-03-20,64232,65136,63672,64884,64884,3613900
