Date,Adj_Close,Open,High,Low,Vol.,Change %
2022-11-11,2017.96,"2,040.76","2,046.21","2,016.54",59.83B,1.31%
2022-11-10,1991.82,"1,997.95","2,004.27","1,983.15",42.64B,-0.98%
2022-11-09,2011.51,"2,020.41","2,031.10","2,010.14",39.37B,-0.41%
2022-11-08,2019.81,"2,026.69","2,027.38","2,005.15",39.95B,-0.40%
2022-11-07,2027.86,"2,019.44","2,035.51","2,010.87",45.51B,0.38%
2022-11-04,2020.16,"1,968.26","2,025.26","1,968.26",46.61B,2.68%
2022-11-03,1967.38,"1,950.45","1,971.55","1,948.15",40.09B,-0.04%
2022-11-02,1968.2,"1,938.19","1,980.13","1,935.43",46.64B,1.33%
2022-11-01,1942.36,"1,890.91","1,942.36","1,887.83",42.50B,2.97%
2022-10-31,1886.41,"1,864.17","1,904.84","1,864.17",39.50B,0.38%
2022-10-28,1879.2,"1,930.84","1,935.95","1,873.15",44.01B,-3.40%
2022-10-27,1945.38,"1,960.12","1,968.06","1,945.37",42.66B,-0.64%
2022-10-26,1957.92,"1,926.21","1,974.03","1,926.21",43.84B,1.79%
2022-10-25,1923.51,"1,922.50","1,941.16","1,896.13",39.19B,-0.46%
2022-10-24,1932.34,"1,966.94","1,989.78","1,921.71",40.72B,-1.76%
2022-10-21,1966.93,"1,970.71","1,979.81","1,958.22",34.38B,-0.24%
2022-10-20,1971.67,"1,969.31","1,999.72","1,950.03",37.53B,-0.51%
2022-10-19,1981.84,"1,999.22","2,005.02","1,981.84",36.56B,-1.16%
2022-10-18,2005.08,"2,006.87","2,019.41","1,994.17",38.81B,0.36%
2022-10-17,1997.81,"1,974.37","1,999.17","1,971.47",38.25B,0.68%
2022-10-14,1984.33,"1,949.08","1,992.95","1,947.62",39.03B,2.59%
2022-10-13,1934.28,"1,917.85","1,952.17","1,912.90",35.25B,0.25%
2022-10-12,1929.53,"1,880.42","1,929.53","1,852.42",34.71B,2.53%
2022-10-11,1882.0,"1,874.67","1,887.98","1,860.18",27.73B,0.61%
2022-10-10,1870.5,"1,914.47","1,917.41","1,865.58",29.82B,-2.17%
2022-09-30,1912.0,"1,937.36","1,942.84","1,911.98",28.32B,-1.30%
2022-09-29,1937.2,"1,958.40","1,960.79","1,927.29",31.45B,-0.05%
2022-09-28,1938.26,"1,983.90","1,983.90","1,938.26",32.40B,-2.57%
2022-09-27,1989.4,"1,955.08","1,989.40","1,949.60",32.09B,2.07%
2022-09-26,1949.0,"1,949.53","1,981.86","1,946.11",32.72B,-0.75%
2022-09-23,1963.69,"1,991.06","1,996.41","1,947.95",34.09B,-1.41%
2022-09-22,1991.85,"1,989.70","2,014.60","1,987.59",32.16B,-0.62%
2022-09-21,2004.31,"2,004.97","2,012.84","1,980.61",33.39B,-0.37%
2022-09-20,2011.66,"2,001.86","2,023.32","1,999.46",32.05B,1.07%
2022-09-19,1990.36,"2,002.28","2,013.22","1,980.45",32.96B,-0.76%
2022-09-16,2005.6,"2,046.48","2,047.43","2,005.60",39.27B,-2.25%
2022-09-15,2051.79,"2,109.14","2,110.78","2,032.10",44.30B,-2.34%
2022-09-14,2100.9,"2,094.01","2,109.91","2,086.37",35.53B,-1.14%
2022-09-13,2125.05,"2,126.38","2,130.94","2,117.14",36.50B,0.33%
2022-09-09,2118.11,"2,109.00","2,119.48","2,099.84",37.56B,0.65%
2022-09-08,2104.39,"2,124.26","2,125.21","2,102.94",39.50B,-0.89%
2022-09-07,2123.2,"2,104.92","2,129.78","2,101.29",41.74B,0.47%
2022-09-06,2113.27,"2,092.43","2,113.27","2,081.21",40.26B,1.21%
2022-09-05,2088.09,"2,085.31","2,094.92","2,074.77",36.53B,-0.08%
2022-09-02,2089.74,"2,086.04","2,095.05","2,075.01",37.13B,0.44%
2022-09-01,2080.6,"2,093.00","2,109.91","2,076.93",39.32B,-0.74%
2022-08-31,2096.07,"2,128.16","2,132.95","2,087.48",45.98B,-1.95%
2022-08-30,2137.72,"2,147.88","2,150.33","2,126.68",40.95B,-0.47%
2022-08-29,2147.74,"2,119.30","2,149.73","2,114.67",39.54B,0.07%
2022-08-26,2146.19,"2,160.02","2,175.15","2,142.55",42.32B,-0.42%
2022-08-25,2155.14,"2,167.46","2,171.02","2,128.57",46.84B,-0.24%
2022-08-24,2160.38,"2,230.94","2,231.87","2,157.68",54.20B,-3.01%
2022-08-23,2227.38,"2,223.90","2,231.75","2,218.32",46.07B,-0.04%
2022-08-22,2228.32,"2,201.48","2,228.39","2,196.56",46.38B,0.92%
2022-08-19,2207.99,"2,236.04","2,240.24","2,207.99",51.87B,-1.28%
2022-08-18,2236.53,"2,237.29","2,239.39","2,229.58",50.26B,-0.26%
2022-08-17,2242.45,"2,229.63","2,244.80","2,217.13",51.19B,0.69%
2022-08-16,2227.04,"2,219.63","2,235.53","2,216.78",49.02B,0.43%
2022-08-15,2217.44,"2,203.18","2,221.41","2,201.75",45.73B,0.47%
2022-08-12,2207.06,"2,214.60","2,221.83","2,206.75",49.04B,-0.45%
2022-08-11,2216.98,"2,191.01","2,217.12","2,185.03",48.89B,1.66%
2022-08-10,2180.83,"2,183.83","2,192.40","2,170.32",42.79B,-0.35%
2022-08-09,2188.49,"2,179.96","2,188.49","2,172.86",42.52B,0.24%
2022-08-08,2183.22,"2,160.82","2,183.22","2,157.00",42.42B,0.79%
2022-08-05,2166.01,"2,141.25","2,167.31","2,136.10",45.48B,1.44%
2022-08-04,2135.33,"2,128.88","2,139.29","2,107.02",42.83B,0.86%
2022-08-03,2117.19,"2,141.23","2,169.64","2,110.39",52.58B,-0.98%
2022-08-02,2138.17,"2,177.24","2,177.24","2,118.25",59.64B,-2.92%
2022-08-01,2202.49,"2,178.25","2,202.49","2,165.83",45.48B,0.97%
2022-07-29,2181.25,"2,204.97","2,208.07","2,177.59",48.55B,-1.00%
2022-07-28,2203.24,"2,205.19","2,219.93","2,199.13",50.49B,0.40%
2022-07-27,2194.54,"2,182.95","2,197.22","2,177.47",44.39B,0.33%
2022-07-26,2187.23,"2,167.06","2,190.45","2,154.90",42.34B,1.01%
2022-07-25,2165.36,"2,185.13","2,188.99","2,159.24",43.36B,-0.92%
2022-07-22,2185.41,"2,199.21","2,209.45","2,167.46",46.48B,-0.38%
2022-07-21,2193.81,"2,205.60","2,213.59","2,193.81",48.64B,-0.75%
2022-07-20,2210.46,"2,202.37","2,214.29","2,197.56",46.06B,0.71%
2022-07-19,2194.92,"2,192.86","2,202.92","2,178.46",48.57B,0.13%
2022-07-18,2191.96,"2,165.68","2,193.59","2,153.11",47.32B,1.48%
2022-07-15,2159.99,"2,185.15","2,202.05","2,159.99",50.58B,-1.49%
2022-07-14,2192.7,"2,170.93","2,206.52","2,165.84",46.95B,0.79%
2022-07-13,2175.59,"2,156.28","2,183.22","2,145.42",44.51B,0.93%
2022-07-12,2155.56,"2,187.42","2,192.58","2,152.52",44.43B,-1.45%
2022-07-11,2187.34,"2,211.36","2,211.36","2,170.52",45.12B,-1.47%
2022-07-08,2219.9,"2,236.54","2,243.32","2,217.61",46.40B,-0.35%
2022-07-07,2227.66,"2,208.60","2,232.52","2,195.22",45.35B,0.93%
2022-07-06,2207.2,"2,226.33","2,234.43","2,188.35",45.11B,-1.15%
2022-07-05,2232.98,"2,249.56","2,257.43","2,204.82",49.40B,-0.55%
2022-07-04,2245.31,"2,214.33","2,245.31","2,202.87",45.84B,1.17%
2022-07-01,2219.41,"2,224.79","2,231.77","2,210.66",45.58B,-0.21%
2022-06-30,2224.15,"2,196.36","2,236.59","2,196.36",50.29B,1.35%
2022-06-29,2194.51,"2,237.54","2,245.47","2,193.11",57.88B,-2.20%
2022-06-28,2243.92,"2,216.49","2,246.12","2,204.21",53.50B,1.21%
2022-06-27,2216.98,"2,202.63","2,226.33","2,202.63",51.42B,1.11%
2022-06-24,2192.66,"2,170.39","2,193.68","2,165.77",50.13B,1.32%
2022-06-23,2164.01,"2,123.55","2,164.01","2,109.67",47.19B,2.08%
2022-06-22,2119.82,"2,149.54","2,151.17","2,119.03",43.88B,-1.28%
2022-06-21,2147.29,"2,157.68","2,166.88","2,126.32",49.03B,-0.51%
2022-06-20,2158.34,"2,141.39","2,171.00","2,139.00",47.53B,1.27%
2022-06-17,2131.22,"2,091.26","2,134.34","2,089.35",46.44B,1.16%
2022-06-16,2106.75,"2,099.63","2,124.74","2,097.32",48.81B,0.37%
2022-06-15,2098.99,"2,093.89","2,133.72","2,089.83",56.10B,0.47%
2022-06-14,2089.11,"2,063.00","2,089.13","2,026.65",48.76B,0.19%
2022-06-13,2085.1,"2,069.19","2,093.01","2,064.37",46.32B,-0.01%
2022-06-10,2085.31,"2,033.16","2,086.77","2,031.62",44.05B,1.94%
2022-06-09,2045.7,"2,078.39","2,078.39","2,037.09",43.11B,-1.81%
2022-06-08,2083.42,"2,073.88","2,087.21","2,045.64",47.61B,0.52%
2022-06-07,2072.58,"2,074.12","2,081.90","2,056.28",45.46B,-0.05%
2022-06-06,2073.56,"2,027.32","2,073.94","2,023.38",46.17B,2.32%
2022-06-02,2026.51,"2,005.59","2,027.77","2,000.90",40.62B,0.69%
2022-06-01,2012.65,"2,002.81","2,019.92","1,997.64",40.79B,0.28%
2022-05-31,2006.95,"1,976.70","2,008.97","1,962.41",42.06B,1.57%
2022-05-30,1975.89,"1,964.69","1,975.92","1,951.25",37.43B,1.07%
2022-05-27,1955.03,"1,967.38","1,979.83","1,941.25",39.76B,0.00%
2022-05-26,1955.13,"1,947.57","1,964.96","1,917.58",40.01B,0.53%
2022-05-25,1944.88,"1,921.52","1,944.88","1,918.47",37.48B,1.17%
2022-05-24,1922.48,"1,993.44","1,993.44","1,922.48",48.87B,-3.62%
2022-05-23,1994.76,"1,988.04","1,995.30","1,975.26",42.02B,0.56%
2022-05-20,1983.67,"1,962.85","1,983.67","1,958.41",44.63B,1.59%
2022-05-19,1952.7,"1,912.98","1,952.70","1,909.57",41.43B,0.58%
2022-05-18,1941.54,"1,942.23","1,957.56","1,933.18",39.39B,0.08%
2022-05-17,1940.05,"1,925.59","1,940.05","1,911.01",38.72B,0.73%
2022-05-16,1926.01,"1,945.90","1,953.73","1,919.98",40.84B,-0.28%
2022-05-13,1931.45,"1,932.20","1,936.13","1,911.14",38.48B,0.51%
2022-05-12,1921.65,"1,906.18","1,931.84","1,903.15",40.44B,0.16%
2022-05-11,1918.52,"1,897.33","1,959.27","1,897.14",50.70B,1.27%
2022-05-10,1894.39,"1,839.42","1,896.29","1,833.59",41.13B,1.53%
2022-05-09,1865.92,"1,852.35","1,876.77","1,852.12",33.91B,0.35%
2022-05-06,1859.39,"1,845.95","1,875.79","1,840.36",37.54B,-1.71%
2022-05-05,1891.66,"1,866.49","1,907.53","1,863.42",41.00B,0.68%
2022-04-29,1878.88,"1,822.91","1,881.60","1,815.35",46.49B,3.89%
2022-04-28,1808.47,"1,811.29","1,830.57","1,786.95",40.90B,-0.71%
2022-04-27,1821.39,"1,729.85","1,821.39","1,724.92",47.62B,3.94%
2022-04-26,1752.27,"1,791.76","1,814.45","1,747.53",43.36B,-2.11%
2022-04-25,1790.03,"1,879.85","1,880.90","1,790.03",45.76B,-6.48%
2022-04-22,1914.11,"1,911.23","1,932.59","1,890.04",37.22B,-0.50%
2022-04-21,1923.81,"1,975.22","1,988.77","1,917.01",42.93B,-3.11%
2022-04-20,1985.65,"2,018.46","2,020.74","1,978.96",39.91B,-1.71%
2022-04-19,2020.28,"2,021.40","2,036.31","2,009.39",35.72B,-0.11%
2022-04-18,2022.52,"1,999.30","2,026.55","1,980.19",36.46B,0.43%
2022-04-15,2013.87,"2,020.75","2,029.76","2,001.33",43.83B,-1.01%
2022-04-14,2034.48,"2,024.34","2,045.89","2,015.86",40.68B,1.11%
2022-04-13,2012.18,"2,034.58","2,042.13","2,012.18",43.87B,-1.74%
2022-04-12,2047.88,"2,009.41","2,047.88","1,995.57",44.98B,1.81%
2022-04-11,2011.44,"2,068.14","2,068.14","2,003.09",46.33B,-3.33%
2022-04-08,2080.77,"2,089.63","2,092.96","2,054.78",46.25B,-0.32%
2022-04-07,2087.53,"2,117.28","2,129.52","2,087.53",47.86B,-1.90%
2022-04-06,2127.96,"2,126.20","2,132.75","2,113.61",48.44B,0.01%
2022-04-01,2127.82,"2,104.38","2,133.99","2,097.12",47.06B,0.47%
2022-03-31,2117.96,"2,129.97","2,133.44","2,113.79",49.89B,-0.92%
2022-03-30,2137.61,"2,094.05","2,137.61","2,090.08",45.10B,2.55%
2022-03-29,2084.47,"2,101.24","2,109.79","2,077.15",42.51B,-0.57%
2022-03-28,2096.5,"2,098.79","2,114.64","2,075.71",42.33B,-0.82%
2022-03-25,2113.73,"2,146.10","2,152.02","2,113.73",43.72B,-1.43%
2022-03-24,2144.34,"2,150.70","2,158.30","2,127.39",44.07B,-0.87%
2022-03-23,2163.2,"2,157.79","2,170.06","2,147.80",45.07B,0.54%
2022-03-22,2151.68,"2,155.89","2,166.65","2,140.09",46.45B,-0.41%
2022-03-21,2160.54,"2,152.24","2,170.29","2,136.91",47.25B,0.73%
2022-03-18,2144.9,"2,121.95","2,150.58","2,116.62",45.20B,0.56%
2022-03-17,2133.01,"2,118.02","2,167.82","2,115.78",53.06B,2.24%
2022-03-16,2086.24,"2,049.61","2,091.49","1,976.06",51.07B,3.62%
2022-03-15,2013.37,"2,091.08","2,107.97","2,013.37",49.11B,-4.56%
