Date,Adj_Close,Open,High,Low,Vol.,Change %
2022-11-11,14224.86,"14,179.39","14,263.53","14,172.47",103.68M,0.56%
2022-11-10,14146.09,"13,603.79","14,157.25","13,599.35",114.86M,3.51%
2022-11-09,13666.32,"13,653.98","13,691.12","13,557.08",64.01M,-0.16%
2022-11-08,13688.75,"13,506.65","13,689.61","13,487.91",60.73M,1.15%
2022-11-07,13533.52,"13,398.79","13,611.30","13,391.00",56.99M,0.55%
2022-11-04,13459.85,"13,201.24","13,542.35","13,193.51",76.64M,2.51%
2022-11-03,13130.19,"13,130.97","13,194.32","13,022.64",52.29M,-0.95%
2022-11-02,13256.74,"13,369.33","13,398.64","13,255.07",54.43M,-0.61%
2022-11-01,13338.74,"13,344.85","13,444.07","13,287.07",51.44M,0.64%
2022-10-31,13253.74,"13,254.31","13,307.09","13,216.48",59.05M,0.08%
2022-10-28,13243.33,"13,072.92","13,250.66","13,051.25",64.19M,0.24%
2022-10-27,13211.23,"13,152.99","13,259.49","13,062.04",72.25M,0.12%
2022-10-26,13195.81,"13,054.49","13,203.24","13,023.40",65.69M,1.09%
2022-10-25,13052.96,"12,965.19","13,053.24","12,789.26",69.24M,0.94%
2022-10-24,12931.45,"12,868.77","13,020.45","12,747.38",62.92M,1.58%
2022-10-21,12730.9,"12,641.12","12,775.52","12,548.15",82.22M,-0.29%
2022-10-20,12767.41,"12,685.16","12,818.34","12,628.78",52.82M,0.20%
2022-10-19,12741.41,"12,817.63","12,819.11","12,705.26",63.63M,-0.19%
2022-10-18,12765.61,"12,788.53","12,931.76","12,746.36",65.99M,0.92%
2022-10-17,12649.03,"12,467.54","12,716.81","12,398.05",57.20M,1.70%
2022-10-14,12437.81,"12,549.02","12,676.42","12,395.99",82.48M,0.67%
2022-10-13,12355.58,"12,114.23","12,379.24","12,000.43",88.45M,1.51%
2022-10-12,12172.26,"12,207.97","12,298.62","12,104.62",67.19M,-0.39%
2022-10-11,12220.25,"12,168.66","12,258.15","12,097.68",64.61M,-0.43%
2022-10-10,12272.94,"12,175.52","12,410.83","12,174.63",68.34M,0.00%
2022-10-07,12273.0,"12,414.78","12,497.52","12,272.59",56.97M,-1.59%
2022-10-06,12470.78,"12,593.41","12,643.22","12,421.89",53.53M,-0.37%
2022-10-05,12517.18,"12,611.07","12,661.88","12,455.36",62.39M,-1.21%
2022-10-04,12670.48,"12,360.72","12,673.35","12,358.98",80.24M,3.78%
2022-10-03,12209.48,"11,951.84","12,227.87","11,893.94",63.67M,0.79%
2022-09-30,12114.36,"12,063.09","12,137.77","11,973.91",89.24M,1.16%
2022-09-29,11975.55,"12,143.21","12,147.31","11,866.98",88.00M,-1.71%
2022-09-28,12183.28,"12,025.43","12,198.37","11,862.84",96.22M,0.36%
