Date,Adj_Close,Open,High,Low,Vol.,Change %
11/11/2022,2381.7,"2,400.50","2,402.90","2,375.80",,0.27%
11/10/2022,2375.3,"2,308.30","2,381.20","2,304.80",,2.57%
11/09/2022,2315.8,"2,303.90","2,322.00","2,300.40",,0.38%
11/08/2022,2307.1,"2,283.10","2,311.20","2,275.50",,0.89%
11/07/2022,2286.8,"2,256.70","2,290.20","2,254.70",,0.86%
11/04/2022,2267.2,"2,222.40","2,278.40","2,206.10",,2.50%
11/03/2022,2211.9,"2,203.10","2,212.20","2,191.40",,-0.42%
11/02/2022,2221.2,"2,226.60","2,237.30","2,218.30",,0.06%
11/01/2022,2219.8,"2,225.40","2,250.10","2,212.90",,0.67%
10/31/2022,2205.1,"2,200.90","2,213.40","2,186.50",,0.50%
10/28/2022,2194.1,"2,178.40","2,197.50","2,166.40",,-0.25%
10/27/2022,2199.7,"2,171.30","2,204.30","2,160.10",,0.88%
10/26/2022,2180.6,"2,165.40","2,182.60","2,154.90",,0.52%
10/25/2022,2169.4,"2,151.30","2,171.30","2,127.80",,1.35%
10/24/2022,2140.5,"2,115.30","2,156.20","2,099.40",,1.96%
10/21/2022,2099.4,"2,094.10","2,106.80","2,069.10",,-0.58%
10/20/2022,2111.7,"2,087.40","2,118.00","2,081.80",,0.99%
10/19/2022,2091.1,"2,104.60","2,107.80","2,082.60",,-0.13%
10/18/2022,2093.8,"2,095.50","2,125.30","2,092.60",,0.91%
10/17/2022,2075.0,"2,041.20","2,082.30","2,029.50",,1.83%
10/14/2022,2037.8,"2,055.40","2,075.00","2,033.90",,0.80%
10/13/2022,2021.7,"1,984.00","2,026.80","1,964.50",,1.42%
10/12/2022,1993.3,"2,019.70","2,020.50","1,987.00",,-1.21%
10/11/2022,2017.8,"2,015.30","2,024.60","1,995.20",,-0.88%
10/10/2022,2035.8,"2,013.80","2,041.70","2,013.80",,0.09%
10/07/2022,2033.9,"2,052.20","2,068.60","2,030.50",,-1.16%
10/06/2022,2057.8,"2,088.20","2,092.30","2,047.80",,-0.99%
10/05/2022,2078.4,"2,099.70","2,104.60","2,061.10",,-1.45%
10/04/2022,2109.0,"2,066.70","2,109.20","2,063.50",,3.36%
10/03/2022,2040.5,"1,992.80","2,040.50","1,980.30",,1.67%
09/30/2022,2007.0,"1,993.00","2,013.80","1,986.50",,1.35%
09/29/2022,1980.3,"2,027.00","2,028.00","1,964.00",,-2.46%
09/28/2022,2030.2,"2,021.70","2,035.10","1,993.30",,-0.59%
09/27/2022,2042.2,"2,081.30","2,092.10","2,041.70",,-1.04%
09/26/2022,2063.7,"2,045.20","2,082.30","2,045.20",,0.62%
09/23/2022,2051.0,"2,114.10","2,118.00","2,047.30",,-3.30%
09/22/2022,2120.9,"2,113.40","2,160.10","2,109.90",,-1.09%
09/21/2022,2144.2,"2,108.70","2,144.90","2,104.30",,1.13%
09/20/2022,2120.2,"2,169.80","2,178.70","2,115.60",,-1.67%
