Date,Adj_Close,Open,High,Low,Vol.,Change %
2022-11-13,11246.93,"11,351.69","11,361.50","11,239.36",119.83M,0.31%
2022-11-10,11211.7,"11,369.53","11,369.67","11,178.78",129.15M,-1.71%
2022-11-09,11407.18,"11,467.88","11,467.92","11,358.87",120.03M,-0.69%
2022-11-08,11486.53,"11,592.06","11,597.28","11,430.04",146.35M,-0.97%
2022-11-07,11598.76,"11,516.69","11,598.76","11,440.62",142.68M,0.67%
2022-11-06,11521.28,"11,560.72","11,609.42","11,508.44",113.71M,0.72%
2022-11-03,11439.19,"11,463.48","11,506.05","11,411.80",138.93M,-0.79%
2022-11-02,11530.29,"11,500.32","11,553.70","11,333.38",198.72M,0.00%
2022-11-01,11530.44,"11,677.03","11,681.08","11,462.96",182.17M,-1.18%
2022-10-31,11667.8,"11,647.78","11,667.80","11,549.39",145.61M,0.30%
2022-10-30,11632.33,"11,728.53","11,773.87","11,630.79",104.02M,-0.66%
2022-10-27,11709.5,"11,781.16","11,839.83","11,703.20",187.31M,-0.76%
2022-10-26,11798.77,"11,983.52","12,004.85","11,732.10",160.38M,-1.46%
2022-10-25,11973.86,"12,080.05","12,099.60","11,909.36",164.79M,-0.84%
2022-10-24,12075.27,"11,979.28","12,075.27","11,927.81",147.92M,0.57%
2022-10-23,12006.59,"12,035.59","12,076.04","11,989.53",129.98M,0.36%
2022-10-20,11963.68,"11,801.39","11,963.68","11,798.35",140.54M,1.43%
2022-10-19,11795.1,"11,814.28","11,851.16","11,769.38",130.25M,-0.13%
2022-10-18,11809.95,"11,624.66","11,809.95","11,623.61",148.25M,2.11%
2022-10-17,11566.38,"11,421.96","11,591.61","11,416.30",111.56M,1.41%
2022-10-16,11405.88,"11,440.18","11,467.87","11,331.23",98.77M,-0.14%
2022-10-13,11421.78,"11,548.12","11,564.52","11,421.78",112.89M,-1.12%
2022-10-12,11551.34,"11,533.00","11,590.21","11,502.62",143.75M,0.32%
2022-10-11,11514.26,"11,542.79","11,560.08","11,456.51",124.15M,-0.14%
2022-10-10,11530.37,"11,554.00","11,628.74","11,471.89",139.85M,-0.31%
2022-10-09,11566.45,"11,758.44","11,769.26","11,555.15",115.45M,-1.63%
2022-10-06,11757.79,"11,802.63","11,824.22","11,747.23",135.22M,-0.11%
2022-10-05,11770.32,"11,862.97","11,880.52","11,709.64",186.50M,-0.09%
2022-10-04,11780.41,"11,711.15","11,785.91","11,679.16",195.96M,1.49%
2022-10-03,11607.96,"11,544.69","11,647.41","11,533.94",184.54M,1.05%
2022-10-02,11487.07,"11,420.66","11,530.18","11,325.68",148.68M,0.72%
2022-09-29,11405.32,"11,253.33","11,411.35","11,252.80",172.24M,2.11%
2022-09-28,11170.08,"11,121.36","11,241.11","11,032.52",165.84M,1.39%
2022-09-27,11017.38,"10,981.28","11,085.96","10,932.34",161.14M,0.99%
2022-09-26,10909.18,"11,113.68","11,193.42","10,909.18",172.34M,-2.26%
2022-09-25,11161.38,"11,201.19","11,218.09","11,121.94",128.31M,-2.62%
2022-09-21,11461.09,"11,498.37","11,543.42","11,402.57",118.14M,-0.37%
2022-09-20,11503.6,"11,523.93","11,615.45","11,503.60",126.95M,0.50%
2022-09-19,11446.33,"11,545.32","11,602.22","11,404.06",125.00M,-1.09%
2022-09-18,11572.18,"11,807.59","11,814.84","11,554.56",137.87M,-2.18%
2022-09-15,11829.54,"11,920.15","12,016.12","11,829.54",162.48M,-0.54%
2022-09-14,11893.27,"11,871.41","11,987.71","11,846.15",121.83M,-1.58%
2022-09-13,12084.45,"12,035.45","12,089.66","11,985.36",137.01M,0.52%
2022-09-12,12022.12,"11,956.63","12,022.12","11,930.63",112.07M,0.68%
2022-09-11,11940.36,"11,951.03","12,014.60","11,935.42",121.24M,0.90%
2022-09-08,11834.26,"11,886.51","11,927.63","11,748.50",126.52M,-0.25%
