Date,Open,High,Low,Close,Adj_Close,Volume
2017-01-02,16427,16427,16427,16427,13832.29102,0
2017-01-03,16425,16425,16133,16300,13725.35156,126774
2017-01-04,16261,16443,16119,16200,13641.14648,111380
2017-01-05,16399,16399,15918,16000,13472.73731,49318
2017-01-06,16200,16394,15895,15960,13439.05664,103691
2017-01-09,16150,16150,15825,15975,13451.68555,53085
2017-01-10,15975,16190,15937,15990,13464.31738,94493
2017-01-11,15901,16170,15802,15990,13464.31738,90534
2017-01-12,15990,16016,15600,15660,13186.44141,113723
2017-01-13,15800,15800,15580,15615,13148.54981,202022
2017-01-16,15615,15950,15615,15910,13396.95313,134619
2017-01-17,15998,16054,15790,15844,13341.37695,162463
2017-01-18,15701,15931,15701,15862,13356.53418,262974
2017-01-19,15862,16147,15815,15815,13316.95898,226370
2017-01-20,15750,16148,15595,15720,13236.96387,475510
2017-01-23,15750,15934,15720,15850,13346.43164,465041
2017-01-24,15753,16453,15753,16420,13826.39746,793880
2017-01-25,16350,16750,16350,16525,13914.81055,214328
2017-01-26,16750,16750,16385,16500,13893.76074,214441
2017-01-27,16346,16499,16152,16170,13615.88477,160327
2017-01-30,16600,16600,15812,15812,13314.43359,101402
2017-01-31,15812,16253,15812,16134,13585.57129,137345
2017-02-01,16250,16286,16050,16249,13682.40625,147978
2017-02-02,16299,16299,16001,16092,13550.20606,108256
2017-02-03,16102,16130,15950,16129,13581.36231,1506736
2017-02-06,16098,16268,15977,16100,13556.94238,221286
2017-02-07,15913,15926,15675,15774,13282.43457,212956
2017-02-08,16000,16000,15650,15800,13304.32715,267247
2017-02-09,15781,15875,15487,15590,13127.49902,205945
2017-02-10,16000,16000,15690,15739,13252.96387,325886
2017-02-13,15900,15955,15754,15800,13304.32715,113311
2017-02-14,15770,15997,15704,15997,13470.21191,469235
2017-02-15,15902,16150,15902,16101,13557.78418,544218
2017-02-16,16114,16402,16109,16290,13716.93164,477254
2017-02-17,16102,16568,16102,16475,13872.70996,241585
