Date,Adj_Close,Open,High,Low,Vol.,Change %
11/11/2022,7318.04,"7,375.34","7,408.61","7,316.84",931.07M,-0.78%
10/11/2022,7375.34,"7,296.25","7,405.09","7,253.36",769.32M,1.08%
09/11/2022,7296.25,"7,306.14","7,307.80","7,263.46",529.92M,-0.14%
08/11/2022,7306.14,"7,299.99","7,313.46","7,244.83",788.99M,0.08%
07/11/2022,7299.99,"7,334.84","7,346.66","7,288.00",718.25M,-0.48%
04/11/2022,7334.84,"7,188.63","7,376.23","7,188.63",907.02M,2.03%
03/11/2022,7188.63,"7,144.14","7,188.63","7,076.47",710.16M,0.62%
02/11/2022,7144.14,"7,186.16","7,205.07","7,130.50",686.59M,-0.58%
01/11/2022,7186.16,"7,094.53","7,221.32","7,094.53",879.61M,1.29%
31/10/2022,7094.53,"7,047.67","7,132.85","7,030.12",863.93M,0.66%
28/10/2022,7047.67,"7,073.69","7,073.69","6,997.54",683.67M,-0.37%
27/10/2022,7073.69,"7,056.07","7,093.05","7,034.24",920.15M,0.25%
26/10/2022,7056.07,"7,013.48","7,057.42","6,960.11",1.02B,0.61%
25/10/2022,7013.48,"7,013.99","7,025.22","6,949.24",619.92M,-0.01%
24/10/2022,7013.99,"6,969.73","7,047.37","6,914.66",619.99M,0.64%
21/10/2022,6969.73,"6,943.91","6,976.19","6,864.13",668.39M,0.37%
20/10/2022,6943.91,"6,924.99","6,954.21","6,894.85",812.74M,0.27%
19/10/2022,6924.99,"6,936.74","6,968.33","6,890.66",699.52M,-0.17%
18/10/2022,6936.74,"6,920.24","7,017.40","6,920.24",798.46M,0.24%
17/10/2022,6920.24,"6,858.79","6,959.71","6,850.43",951.02M,0.90%
14/10/2022,6858.79,"6,850.27","6,976.30","6,850.27",881.17M,0.12%
13/10/2022,6850.27,"6,826.15","6,872.90","6,707.62",1.12B,0.35%
12/10/2022,6826.15,"6,885.23","6,916.94","6,793.77",970.01M,-0.86%
11/10/2022,6885.23,"6,959.31","6,959.43","6,860.31",813.48M,-1.06%
10/10/2022,6959.31,"6,991.09","6,999.20","6,922.94",918.37M,-0.45%
07/10/2022,6991.09,"6,997.27","7,022.41","6,960.36",769.47M,-0.09%
06/10/2022,6997.27,"7,052.62","7,079.74","6,961.10",995.42M,-0.78%
05/10/2022,7052.62,"7,086.46","7,086.46","6,977.95",866.09M,-0.48%
04/10/2022,7086.46,"6,908.76","7,088.17","6,908.67",1.09B,2.57%
03/10/2022,6908.76,"6,893.81","6,923.75","6,797.37",1.22B,0.22%
30/09/2022,6893.81,"6,881.59","6,954.92","6,840.07",1.17B,0.18%
29/09/2022,6881.59,"7,005.39","7,005.39","6,829.29",1.16B,-1.77%
28/09/2022,7005.39,"6,984.59","7,011.50","6,836.28",1.52B,0.30%
27/09/2022,6984.59,"7,020.95","7,073.96","6,984.59",1.22B,-0.52%
26/09/2022,7020.95,"7,018.60","7,071.11","6,937.40",1.16B,0.03%
23/09/2022,7018.6,"7,159.52","7,169.12","6,981.50",971.11M,-1.97%
22/09/2022,7159.52,"7,237.64","7,243.90","7,149.59",904.88M,-1.08%
21/09/2022,7237.64,"7,192.66","7,258.87","7,170.69",1.44B,0.63%
20/09/2022,7192.66,"7,236.68","7,326.54","7,171.24",1.05B,-0.61%
16/09/2022,7236.68,"7,282.07","7,297.10","7,236.17",2.14B,-0.62%
15/09/2022,7282.07,"7,277.30","7,329.00","7,258.67",843.74M,0.07%
14/09/2022,7277.3,"7,385.86","7,385.86","7,259.24",1.02B,-1.47%
13/09/2022,7385.86,"7,473.03","7,514.04","7,385.86",712.02M,-1.17%
12/09/2022,7473.03,"7,351.07","7,483.00","7,351.07",901.66M,1.66%
09/09/2022,7351.07,"7,262.06","7,386.59","7,262.06",703.94M,1.23%
08/09/2022,7262.06,"7,237.83","7,273.01","7,175.75",658.61M,0.33%
07/09/2022,7237.83,"7,300.44","7,300.44","7,186.56",1.17B,-0.86%
06/09/2022,7300.44,"7,287.43","7,324.19","7,256.51",833.65M,0.18%
05/09/2022,7287.43,"7,281.19","7,288.46","7,191.17",670.76M,0.09%
02/09/2022,7281.19,"7,148.50","7,288.72","7,148.50",820.84M,1.86%
01/09/2022,7148.5,"7,284.15","7,284.15","7,131.69",739.22M,-1.86%
31/08/2022,7284.15,"7,361.63","7,378.44","7,263.62",1.15B,-1.05%
30/08/2022,7361.63,"7,427.31","7,486.40","7,351.12",1.12B,-0.88%
26/08/2022,7427.31,"7,479.74","7,530.65","7,422.02",627.20M,-0.70%
25/08/2022,7479.74,"7,471.51","7,535.70","7,469.17",438.29M,0.11%
24/08/2022,7471.51,"7,488.11","7,488.12","7,410.40",579.00M,-0.22%
23/08/2022,7488.11,"7,533.79","7,533.79","7,467.56",672.51M,-0.61%
22/08/2022,7533.79,"7,550.37","7,550.41","7,491.26",575.33M,-0.22%
19/08/2022,7550.37,"7,541.85","7,578.85","7,513.26",698.78M,0.11%
18/08/2022,7541.85,"7,515.75","7,541.89","7,493.66",590.65M,0.35%
17/08/2022,7515.75,"7,536.06","7,554.04","7,501.54",505.66M,-0.27%
16/08/2022,7536.06,"7,509.15","7,563.67","7,509.15",513.90M,0.36%
15/08/2022,7509.15,"7,500.89","7,539.21","7,463.51",460.48M,0.11%
12/08/2022,7500.89,"7,465.91","7,516.83","7,464.12",497.63M,0.47%
11/08/2022,7465.91,"7,507.11","7,515.00","7,460.11",629.90M,-0.55%
10/08/2022,7507.11,"7,488.15","7,520.72","7,468.64",741.05M,0.25%
09/08/2022,7488.15,"7,482.37","7,504.64","7,475.04",648.38M,0.08%
08/08/2022,7482.37,"7,439.74","7,513.76","7,439.74",626.01M,0.57%
05/08/2022,7439.74,"7,448.06","7,470.63","7,420.16",598.72M,-0.11%
04/08/2022,7448.06,"7,445.68","7,491.74","7,417.49",856.62M,0.03%
03/08/2022,7445.68,"7,409.11","7,445.90","7,372.71",878.40M,0.49%
02/08/2022,7409.11,"7,413.42","7,433.34","7,386.76",622.64M,-0.06%
01/08/2022,7413.42,"7,446.01","7,471.87","7,408.94",551.73M,-0.13%
29/07/2022,7423.43,"7,345.25","7,441.20","7,345.25",883.36M,1.06%
28/07/2022,7345.25,"7,348.23","7,396.20","7,308.99",744.54M,-0.04%
27/07/2022,7348.23,"7,306.28","7,365.22","7,306.28",1.19B,0.57%
26/07/2022,7306.28,"7,306.30","7,365.37","7,301.19",730.91M,0.00%
25/07/2022,7306.3,"7,276.37","7,309.65","7,242.90",711.40M,0.41%
22/07/2022,7276.37,"7,270.51","7,315.34","7,254.02",606.88M,0.08%
21/07/2022,7270.51,"7,264.31","7,274.73","7,200.14",797.90M,0.09%
20/07/2022,7264.31,"7,296.28","7,347.60","7,253.56",1.06B,-0.44%
19/07/2022,7296.28,"7,223.24","7,308.99","7,174.40",665.79M,1.01%
18/07/2022,7223.24,"7,159.01","7,268.88","7,159.01",668.12M,0.90%
15/07/2022,7159.01,"7,039.81","7,167.85","7,038.15",782.83M,1.69%
14/07/2022,7039.81,"7,156.37","7,157.62","7,007.09",848.22M,-1.63%
13/07/2022,7156.37,"7,209.86","7,209.86","7,104.06",805.87M,-0.74%
12/07/2022,7209.86,"7,196.59","7,216.90","7,143.31",851.98M,0.18%
11/07/2022,7196.59,"7,196.24","7,204.06","7,097.42",674.30M,0.00%
08/07/2022,7196.24,"7,189.08","7,210.58","7,129.15",604.18M,0.10%
07/07/2022,7189.08,"7,107.77","7,213.05","7,107.77",1.09B,1.14%
06/07/2022,7107.77,"7,025.47","7,198.72","7,025.35",929.87M,1.17%
05/07/2022,7025.47,"7,232.65","7,260.30","7,016.78",1.10B,-2.86%
04/07/2022,7232.65,"7,168.65","7,258.46","7,168.65",416.52M,0.89%
01/07/2022,7168.65,"7,169.28","7,214.82","7,101.38",676.87M,-0.01%
30/06/2022,7169.28,"7,312.32","7,312.32","7,110.70",903.28M,-1.96%
29/06/2022,7312.32,"7,323.41","7,345.45","7,263.54",717.60M,-0.15%
28/06/2022,7323.41,"7,258.32","7,362.37","7,258.32",735.14M,0.90%
27/06/2022,7258.32,"7,208.81","7,284.48","7,208.52",801.39M,0.69%
24/06/2022,7208.81,"7,020.45","7,211.07","7,016.02",771.05M,2.68%
23/06/2022,7020.45,"7,089.22","7,115.80","7,014.19",763.77M,-0.97%
