Date,Adj_Close,Open,High,Low,Vol.,Change %
11/11/2022,3992.93,"3,963.72","4,001.48","3,944.82",,0.92%
10/11/2022,3956.37,"3,859.89","3,958.33","3,859.89",,5.54%
09/11/2022,3748.57,"3,810.94","3,818.20","3,744.22",,-2.08%
08/11/2022,3828.11,"3,817.02","3,859.40","3,786.28",,0.56%
07/11/2022,3806.8,"3,780.71","3,813.95","3,764.70",,0.96%
04/11/2022,3770.55,"3,766.98","3,796.34","3,708.84",,1.36%
03/11/2022,3719.89,"3,733.25","3,750.59","3,698.15",,-1.06%
02/11/2022,3759.69,"3,852.90","3,894.44","3,758.68",,-2.50%
01/11/2022,3856.1,"3,901.79","3,911.79","3,843.80",,-0.41%
31/10/2022,3871.98,"3,881.85","3,893.73","3,863.18",,-0.75%
28/10/2022,3901.06,"3,808.26","3,905.42","3,808.26",,2.46%
27/10/2022,3807.3,"3,834.69","3,859.95","3,803.79",,-0.61%
26/10/2022,3830.6,"3,825.97","3,886.15","3,824.07",,-0.74%
25/10/2022,3859.11,"3,799.44","3,862.85","3,799.44",,1.63%
24/10/2022,3797.34,"3,762.01","3,810.74","3,741.65",,1.19%
21/10/2022,3752.75,"3,657.10","3,757.89","3,647.42",,2.37%
20/10/2022,3665.78,"3,689.05","3,736.00","3,656.44",,-0.80%
19/10/2022,3695.16,"3,703.11","3,728.58","3,666.51",,-0.67%
18/10/2022,3719.98,"3,746.26","3,762.79","3,686.53",,1.14%
17/10/2022,3677.95,"3,638.65","3,689.73","3,638.65",,2.65%
14/10/2022,3583.07,"3,690.41","3,712.00","3,579.68",,-2.37%
13/10/2022,3669.91,"3,520.37","3,685.41","3,491.58",,2.60%
12/10/2022,3577.03,"3,590.83","3,608.34","3,573.86",,-0.33%
11/10/2022,3588.84,"3,595.86","3,640.66","3,568.45",,-0.65%
10/10/2022,3612.39,"3,647.51","3,652.17","3,588.10",,-0.75%
07/10/2022,3639.66,"3,706.74","3,706.74","3,620.73",,-2.80%
06/10/2022,3744.52,"3,771.97","3,797.93","3,739.22",,-1.02%
05/10/2022,3783.28,"3,753.25","3,806.91","3,722.66",,-0.20%
04/10/2022,3790.93,"3,726.46","3,791.92","3,726.46",,3.06%
03/10/2022,3678.43,"3,609.78","3,698.35","3,604.93",,2.59%
30/09/2022,3585.62,"3,633.48","3,671.44","3,584.13",,-1.51%
29/09/2022,3640.47,"3,687.01","3,687.01","3,610.40",,-2.11%
28/09/2022,3719.04,"3,651.94","3,736.74","3,640.61",,1.97%
27/09/2022,3647.29,"3,686.44","3,717.53","3,623.29",,-0.21%
26/09/2022,3655.04,"3,682.72","3,715.67","3,644.76",,-1.03%
23/09/2022,3693.23,"3,727.14","3,727.14","3,647.47",,-1.72%
22/09/2022,3757.99,"3,782.36","3,790.90","3,749.45",,-0.84%
21/09/2022,3789.93,"3,871.40","3,907.07","3,789.49",,-1.71%
20/09/2022,3855.93,"3,875.23","3,876.01","3,827.54",,-1.13%
19/09/2022,3899.89,"3,849.91","3,900.45","3,838.50",,0.69%
16/09/2022,3873.33,"3,880.95","3,880.95","3,837.08",,-0.72%
15/09/2022,3901.35,"3,932.41","3,959.14","3,888.28",,-1.13%
14/09/2022,3946.01,"3,940.73","3,961.94","3,912.18",,0.34%
13/09/2022,3932.69,"4,037.12","4,037.12","3,921.28",,-4.32%
12/09/2022,4110.41,"4,083.67","4,119.28","4,083.67",,1.06%
09/09/2022,4067.36,"4,022.94","4,076.81","4,022.94",,1.53%
08/09/2022,4006.18,"3,959.94","4,010.50","3,944.81",,0.66%
07/09/2022,3979.87,"3,909.43","3,987.89","3,906.03",,1.83%
06/09/2022,3908.19,"3,930.89","3,942.55","3,886.75",,-0.41%
